cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count
FULL,,3,3,1.5552,1,16,,,,,1773199518.251488,317.119,69,1320,1320,9001,45402.0625,46068.0,100,32,14350065095136,1773199518241304,0,,0,0,24661883295,,8193,llama,all,60
FULL,,3,3,1.5552,2,16,,,,,1773199518.3435957,318.01,67,1320,1320,9001,45402.0625,46068.0,100,32,14350151408064,1773199518327617,0,,0,0,24661908650,,8193,llama,all,60
FULL,,3,3,1.5552,3,16,,,,,1773199518.4527304,308.919,65,1320,1320,9001,45402.0625,46068.0,100,84,14350269141280,1773199518445350,0,,0,0,24661930294,,8193,llama,all,60
FULL,,3,3,1.5552,4,16,,,,,1773199518.562142,299.32,64,1320,1320,9001,45402.0625,46068.0,100,84,14350378448288,1773199518554657,0,,0,0,24661951785,,8193,llama,all,60
FULL,,3,3,1.5552,5,16,,,,,1773199518.6713092,290.994,64,1320,1320,9001,45402.0625,46068.0,100,100,14350487682912,1773199518663892,0,,0,0,24661973342,,8193,llama,all,60
FULL,,3,3,1.5552,6,16,,,,,1773199518.7812214,281.625,63,1320,1320,9001,45402.0625,46068.0,100,100,14350597004128,1773199518773213,0,,0,0,24661994872,,8193,llama,all,60
FULL,,3,3,1.5552,7,16,,,,,1773199518.8901722,272.019,63,1320,1320,9001,45402.0625,46068.0,100,100,14350706758400,1773199518882968,0,,0,0,24662016357,,8193,llama,all,60
FULL,,3,3,1.5552,8,16,,,,,1773199519.0006015,262.593,63,1320,1320,9001,45402.0625,46068.0,100,100,14350815886112,1773199518992096,0,,0,0,24662037846,,8193,llama,all,60
FULL,,3,3,1.5552,9,16,,,,,1773199519.1096442,253.795,63,1320,1320,9001,45402.0625,46068.0,100,100,14350926150816,1773199519102361,0,,0,0,24662080874,,8193,llama,all,60
FULL,,3,3,1.5552,10,16,,,,,1773199519.220689,233.71,63,1320,1320,9001,45402.0625,46068.0,100,100,14351035312096,1773199519211522,0,,0,0,24662102413,,8193,llama,all,60
FULL,,3,3,1.5552,11,16,,,,,1773199519.330032,225.124,63,1320,1320,9001,45402.0625,46068.0,100,100,14351146299808,1773199519322510,0,,0,0,24662123906,,8193,llama,all,60
FULL,,3,3,1.5552,12,16,,,,,1773199519.4408684,215.83,63,1320,1320,9001,45402.0625,46068.0,100,100,14351255893088,1773199519432103,0,,0,0,24662145681,,8193,llama,all,60
FULL,,3,3,1.5552,13,16,,,,,1773199519.5497453,215.374,63,1320,1320,9001,45402.0625,46068.0,100,100,14351366412480,1773199519542623,0,,0,0,24662167068,,8193,llama,all,60
