cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len
FULL,False,16,16,2.6351,1,26,,,,,1773303383.5497305,219.647,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303383545374,0,,0,0,13247700,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,2,26,,,,,1773303383.598552,219.647,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303383585616,0,,0,0,13247700,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,3,26,,,,,1773303383.7074735,238.448,68,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303383700364,0,,0,0,13278061,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,4,26,,,,,1773303383.8183057,257.327,69,2520,2520,9001,45401.9375,46068.0,93,100,20512687552,1773303383809300,0,,0,0,13309742,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,5,26,,,,,1773303383.927761,312.813,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303383920005,0,,0,0,13341407,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,6,26,,,,,1773303384.040919,313.224,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384029502,0,,0,0,13404948,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,7,26,,,,,1773303384.1493766,315.953,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384142699,0,,0,0,13436635,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,8,26,,,,,1773303384.2590976,316.125,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384251217,0,,0,0,13468364,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,9,26,,,,,1773303384.368757,316.855,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384360732,0,,0,0,13500135,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,10,26,,,,,1773303384.478392,317.253,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384470448,0,,0,0,13531855,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,11,26,,,,,1773303384.5873623,317.319,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384579896,0,,0,0,13563641,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,12,26,,,,,1773303384.6982346,317.485,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384689016,0,,0,0,13595403,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,13,26,,,,,1773303384.806901,317.47,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384799837,0,,0,0,13627177,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,14,26,,,,,1773303384.9180386,317.552,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303384908505,0,,0,0,13658940,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,15,26,,,,,1773303385.027126,317.701,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303385019720,0,,0,0,13690669,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,16,26,,,,,1773303385.140337,317.786,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303385128927,0,,0,0,13754275,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,17,26,,,,,1773303385.2493906,317.845,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303385242062,0,,0,0,13786066,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,18,26,,,,,1773303385.358561,318.012,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303385351094,0,,0,0,13817846,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,19,26,,,,,1773303385.467146,317.907,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303385460320,0,,0,0,13849648,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,20,26,,,,,1773303385.5779648,317.948,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303385568548,0,,0,0,13881436,,8204,llama,all,60,8192
FULL,False,16,16,2.6351,21,26,,,,,1773303385.6865966,318.011,69,2520,2520,9001,45401.9375,46068.0,100,100,20512687552,1773303385679759,0,,0,0,13913251,,8204,llama,all,60,8192
