cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0,0,330,1415516,16,14.7246,1,95.80139436619717,1410.637211484507,100.0,2.7746478873239435
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0,1,330,1405090,16,14.7256,1,95.0691690140845,1399.9505552338026,100.0,2.9295774647887325
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0,2,330,1404568,16,14.7261,1,95.84522535211266,1411.4263730577463,100.0,2.7746478873239435
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8192,0,330,172198,416,1.2594,26,132.7328571428571,167.16376028571426,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8192,1,330,172539,416,1.2601,26,132.35728571428572,166.78341572857144,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8192,2,330,172294,416,1.26,26,132.96357142857144,167.53410000000002,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8193,0,330,172421,416,1.26,26,132.27785714285716,166.67010000000002,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8193,1,330,172569,416,1.261,26,133.42257142857144,168.24586257142857,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8193,2,330,172497,416,1.2605,26,131.39242857142855,165.6201562142857,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8194,0,330,172587,416,1.261,26,133.26414285714284,168.04608414285713,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8194,1,330,159510,416,1.2601,26,132.88914285714287,167.45360891428572,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8194,2,330,172775,416,1.2607,26,133.02014285714287,167.6984941,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8195,0,330,159430,416,1.2609,26,133.50314285714285,168.3341128285714,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8195,1,330,172547,416,1.2606,26,133.11985714285714,167.81089191428572,100.0,30.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8195,2,330,159441,416,1.2612,26,133.51185714285717,168.38515422857148,100.0,30.0
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,0,0,630,1080286,16,7.9319,1,137.09938461538462,1087.4586088307692,100.0,4.743589743589744
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,0,1,630,1096327,16,7.9319,1,136.37223076923078,1081.6908972384615,100.0,4.589743589743589
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,0,2,630,1087217,16,7.9317,1,137.12107692307694,1087.6032458307693,100.0,4.846153846153846
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8192,0,630,245719,800,1.534,50,164.0365,251.631991,100.0,46.375
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8192,1,630,245262,800,1.5345,50,164.48862499999998,252.40779506249999,100.0,46.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8192,2,630,262506,800,1.5342,50,163.91649999999998,251.48069429999998,100.0,46.25
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8193,0,630,262440,800,1.5357,50,163.55,251.16373500000003,100.0,46.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8193,1,630,262133,800,1.5358,50,163.660625,251.349987875,100.0,46.0
