cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all_default,0,0,2270,3657361,131072,6.1378,1,598.9785666666667,3676.410646486667,100.0,23.666666666666668,57.733333333333334
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all_default,0,1,2254,3720198,131072,6.1769,1,601.5949032258065,3715.9915577354845,100.0,23.70967741935484,62.96774193548387
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all_default,0,2,2245,3720906,131072,6.2022,1,601.088387096774,3728.0703944516117,100.0,24.387096774193548,66.41935483870968
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8192,0,2422,870005,1600,2.3644,100,378.91066666666666,895.8963802666666,100.0,89.0,56.666666666666664
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8192,1,2422,906055,1600,2.3644,100,378.03575,893.8277273,100.0,89.0,56.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8192,2,2422,904124,1600,2.3644,100,377.4675,892.4841569999999,100.0,89.0,55.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8193,0,2422,903360,1600,2.3643,100,376.9465,891.2146099500001,100.0,89.0,55.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8193,1,2422,902390,1600,2.3643,100,376.53375,890.238745125,100.0,89.0,54.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8193,2,2422,901835,1600,2.3644,100,376.24600000000004,889.5960424,100.0,89.0,54.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8194,0,2422,900835,1600,2.3645,100,375.9728333333333,888.9877644166667,100.0,89.0,54.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8194,1,2422,863036,1600,2.3645,100,375.7138333333334,888.3753589166669,100.0,89.0,53.833333333333336
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8194,2,2422,900063,1600,2.3644,100,375.3961666666666,887.5866964666665,100.0,89.0,53.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all_default,8195,0,2422,861716,1600,2.3646,100,375.08549999999997,886.9271732999998,100.0,89.0,53.0
