cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len
FULL,False,256,256,1.4680,1,16,,,,,1773629538.1891372,140.556,35,630,630,12481,89750.25,97887.0,100,21,1600898432,1773629538183812,0,,0,0,44606622455,,263,llama,seg,25,256
FULL,False,256,256,1.4680,2,16,,,,,1773629538.2739275,140.957,34,630,630,12481,89750.25,97887.0,100,21,1600898432,1773629538265669,0,,0,0,44606636712,,263,llama,seg,25,256
FULL,False,256,256,1.4680,3,16,,,,,1773629538.3795004,145.555,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629538374907,0,,0,0,44606651906,,263,llama,seg,25,256
FULL,False,256,256,1.4680,4,16,,,,,1773629538.4851289,145.054,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629538480390,0,,0,0,44606667015,,263,llama,seg,25,256
FULL,False,256,256,1.4680,5,16,,,,,1773629538.5907085,145.011,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629538586159,0,,0,0,44606682118,,263,llama,seg,25,256
FULL,False,256,256,1.4680,6,16,,,,,1773629538.6964154,144.247,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629538691634,0,,0,0,44606697361,,263,llama,seg,25,256
FULL,False,256,256,1.4680,7,16,,,,,1773629538.8021567,142.99,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629538797452,0,,0,0,44606712440,,263,llama,seg,25,256
FULL,False,256,256,1.4680,8,16,,,,,1773629538.9099822,144.265,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629538903160,0,,0,0,44606727385,,263,llama,seg,25,256
FULL,False,256,256,1.4680,9,16,,,,,1773629539.015564,144.249,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539010898,0,,0,0,44606742300,,263,llama,seg,25,256
FULL,False,256,256,1.4680,10,16,,,,,1773629539.1212513,150.582,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539116605,0,,0,0,44606757252,,263,llama,seg,25,256
FULL,False,256,256,1.4680,11,16,,,,,1773629539.23261,150.773,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539222159,0,,0,0,44606787032,,263,llama,seg,25,256
FULL,False,256,256,1.4680,12,16,,,,,1773629539.3382227,150.793,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539333650,0,,0,0,44606802261,,263,llama,seg,25,256
FULL,False,256,256,1.4680,13,16,,,,,1773629539.443775,151.096,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539439060,0,,0,0,44606817438,,263,llama,seg,25,256
FULL,False,256,256,1.4680,14,16,,,,,1773629539.5495794,150.834,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539544731,0,,0,0,44606832593,,263,llama,seg,25,256
FULL,False,256,256,1.4680,15,16,,,,,1773629539.6553066,150.639,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539650482,0,,0,0,44606847819,,263,llama,seg,25,256
FULL,False,256,256,1.4680,16,16,,,,,1773629539.6612988,150.398,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539657906,0,,0,0,44606847819,,263,llama,seg,25,256
FULL,False,256,256,1.4682,1,16,,,,,1773629539.7889457,150.649,34,630,630,12481,89750.25,97887.0,95,24,1600898432,1773629539782956,0,,0,0,44606862575,,264,llama,seg,25,256
FULL,False,256,256,1.4682,2,16,,,,,1773629539.86101,149.895,34,630,630,12481,89750.25,97887.0,95,24,1600898432,1773629539856359,0,,0,0,44606877008,,264,llama,seg,25,256
FULL,False,256,256,1.4682,3,16,,,,,1773629539.9694293,151.052,34,630,630,12481,89750.25,97887.0,100,25,1600898432,1773629539962069,0,,0,0,44606892131,,264,llama,seg,25,256
