cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len
FULL,False,16,16,1.4879,1,16,,,,,1773323221.6921015,254.026,58,2422,2422,12481,94516.25,97887.0,100,83,1600898432,1773323221688459,0,,0,0,23999463845,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,2,16,,,,,1773323221.7104065,254.026,58,2422,2422,12481,94516.25,97887.0,100,83,1600898432,1773323221694252,0,,0,0,23999463845,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,3,16,,,,,1773323221.8194323,245.726,56,2422,2422,12481,94516.25,97887.0,95,88,1600898432,1773323221812254,0,,0,0,23999498579,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,4,16,,,,,1773323221.9283667,271.363,56,2422,2422,12481,94516.25,97887.0,95,88,1600898432,1773323221921184,0,,0,0,23999535376,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,5,16,,,,,1773323222.0393813,297.336,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222029848,0,,0,0,23999572148,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,6,16,,,,,1773323222.1484993,346.206,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222141016,0,,0,0,23999609071,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,7,16,,,,,1773323222.2593877,349.316,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222250071,0,,0,0,23999645865,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,8,16,,,,,1773323222.3688033,375.378,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222361002,0,,0,0,23999719358,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,9,16,,,,,1773323222.4794426,379.831,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222470388,0,,0,0,23999756195,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,10,16,,,,,1773323222.5880013,382.111,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222581189,0,,0,0,23999792937,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,11,16,,,,,1773323222.6994882,378.414,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222689604,0,,0,0,23999829606,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,12,16,,,,,1773323222.8087761,377.456,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222800862,0,,0,0,23999866454,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,13,16,,,,,1773323222.919347,374.293,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323222910350,0,,0,0,23999903138,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,14,16,,,,,1773323223.0278711,372.695,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223021008,0,,0,0,23999939804,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,15,16,,,,,1773323223.13635,369.717,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223129402,0,,0,0,23999976719,,16399,llama,all,45,16384
FULL,False,16,16,1.4879,16,16,,,,,1773323223.1830218,369.717,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223180692,0,,0,0,24000013272,,16399,llama,all,45,16384
FULL,False,16,16,1.4878,1,16,,,,,1773323223.3195474,365.598,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223317272,0,,0,0,24000049092,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,2,16,,,,,1773323223.3450594,365.598,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223337913,0,,0,0,24000049092,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,3,16,,,,,1773323223.4536343,364.999,55,2422,2422,12481,94516.25,97887.0,97,90,1600898432,1773323223446668,0,,0,0,24000085520,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,4,16,,,,,1773323223.5621035,364.568,56,2422,2422,12481,94516.25,97887.0,97,90,1600898432,1773323223555186,0,,0,0,24000122150,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,5,16,,,,,1773323223.6704848,365.03,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223663609,0,,0,0,24000195608,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,6,16,,,,,1773323223.7794392,364.267,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223772062,0,,0,0,24000232269,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,7,16,,,,,1773323223.887951,363.548,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223881084,0,,0,0,24000268815,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,8,16,,,,,1773323223.996918,363.156,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323223989645,0,,0,0,24000305408,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,9,16,,,,,1773323224.105453,363.465,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224098527,0,,0,0,24000342078,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,10,16,,,,,1773323224.2140822,362.72,56,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224206835,0,,0,0,24000378542,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,11,16,,,,,1773323224.322565,363.353,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224315702,0,,0,0,24000415006,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,12,16,,,,,1773323224.431003,361.548,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224424092,0,,0,0,24000451696,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,13,16,,,,,1773323224.539806,360.422,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224532608,0,,0,0,24000488249,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,14,16,,,,,1773323224.6483068,359.68,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224641384,0,,0,0,24000524686,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,15,16,,,,,1773323224.759525,359.824,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224749860,0,,0,0,24000561075,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,16,16,,,,,1773323224.8106592,359.824,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224808412,0,,0,0,24000597549,,16400,llama,all,45,16384
FULL,False,16,16,1.4878,1,16,,,,,1773323224.9471965,358.506,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224944920,0,,0,0,24000633024,,16401,llama,all,45,16384
FULL,False,16,16,1.4878,2,16,,,,,1773323224.9689195,358.506,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323224961129,0,,0,0,24000668775,,16401,llama,all,45,16384
FULL,False,16,16,1.4878,3,16,,,,,1773323225.0794532,357.021,55,2422,2422,12481,94516.25,97887.0,97,91,1600898432,1773323225070542,0,,0,0,24000705272,,16401,llama,all,45,16384
FULL,False,16,16,1.4878,4,16,,,,,1773323225.187947,356.925,55,2422,2422,12481,94516.25,97887.0,97,91,1600898432,1773323225181015,0,,0,0,24000741871,,16401,llama,all,45,16384
FULL,False,16,16,1.4878,5,16,,,,,1773323225.296337,356.818,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323225289508,0,,0,0,24000778693,,16401,llama,all,45,16384
FULL,False,16,16,1.4878,6,16,,,,,1773323225.404926,357.02,55,2422,2422,12481,94516.25,97887.0,100,93,1600898432,1773323225397949,0,,0,0,24000815331,,16401,llama,all,45,16384
