cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,33.333333333333336
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,31.509259259259256
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,33.0
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,32.0
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,35.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,33.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,38.26190476190476
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,35.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,43.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,39.0
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,46.800000000000004
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,42.0
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,52.355555555555554
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,45.09090909090909
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,59.6
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,50.3560606060606
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,29.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,28.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,30.12962962962963
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,29.30181623931624
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,32.57894736842105
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,31.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,35.526315789473685
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,33.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,39.51140350877193
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,36.0
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,43.668253968253964
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,39.00925925925926
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,47.50873015873017
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,43.0
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,54.87301587301587
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,46.725
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,31.007246376811594
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,30.5
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,33.1231884057971
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,32.92424242424243
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,36.666666666666664
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,35.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,40.86805555555555
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,37.333333333333336
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,44.89795918367347
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,41.31481481481482
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,51.29251700680272
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,45.30277777777778
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,58.26954248366013
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,49.72727272727273
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,66.84615384615385
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,56.583333333333336
