cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,gpu_util_pct
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,100.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,100.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,100.0
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,100.0
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,100.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,100.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,100.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,100.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,100.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,100.0
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,100.0
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,100.0
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,100.0
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,100.0
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,99.0
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,100.0
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,100.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,100.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,100.0
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,100.0
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,99.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,100.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,99.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,100.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,99.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,100.0
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,99.0
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,100.0
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,99.0
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,100.0
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,98.0
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,100.0
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,100.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,100.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,100.0
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,100.0
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,100.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,100.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,100.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,100.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,100.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,100.0
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,100.0
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,100.0
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,100.0
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,100.0
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,100.0
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,100.0
