cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,0,0,330,253258,4096,2.5285,16,105.70953846153847,267.28656800000005,100.0,7.0,34.0
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,0,1,330,273306,4096,2.5283,16,105.39761538461539,266.4767909769231,100.0,7.0,33.0
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,0,2,330,262910,4096,2.5273,16,105.3456153846154,266.23997376153847,100.0,7.0,33.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,32,0,330,216833,432,1.7745,54,120.63910000000001,214.07408295000002,100.0,27.0,32.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,32,1,330,217159,432,1.7738,54,120.9888,214.60993344,100.0,27.0,32.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,32,2,330,204768,432,1.7741,54,120.28500000000001,213.39761850000002,100.0,27.0,32.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,33,0,330,217005,432,1.7731,54,121.1404,214.79404323999998,100.0,27.0,32.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,33,1,330,205202,432,1.7744,54,120.6855,214.14435120000002,100.0,27.0,32.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,33,2,330,205083,432,1.7746,54,120.5886,213.99652956,100.0,27.0,32.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,34,0,330,204903,432,1.7723,54,120.81633333333333,214.12278756666666,100.0,27.0,31.11111111111111
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,34,1,330,204850,432,1.7715,54,120.232,212.99098800000002,100.0,27.0,31.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,34,2,330,204969,432,1.7724,54,120.36709999999998,213.33864803999995,100.0,27.0,31.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,35,0,330,205042,432,1.7718,54,120.67230000000002,213.80718114000004,100.0,27.0,31.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,35,1,330,204475,432,1.7723,54,120.53411111111112,213.62260512222224,100.0,27.0,31.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,35,2,330,216674,432,1.7725,54,120.43730000000001,213.47511425000002,100.0,27.0,31.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,0,0,630,381097,7936,2.6189,31,146.81785714285712,384.5012860714285,100.0,12.214285714285714,33.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,0,1,630,395876,7936,2.6185,31,146.8921428571429,384.6370760714287,100.0,12.285714285714286,33.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,0,2,630,367031,7936,2.6188,31,146.9306923076923,384.7820970153846,100.0,12.384615384615385,33.0
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,32,0,630,329000,816,2.1923,102,149.81418181818182,328.4376308,100.0,42.0,32.0
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,32,1,630,329256,816,2.1911,102,149.99258333333333,328.64874934166664,100.0,42.0,32.0
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,32,2,630,314588,816,2.1914,102,149.78136363636364,328.23088027272723,100.0,42.0,32.0
