cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,latency_sec_per_token
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,0.0006171956380208334
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,0.004104417438271606
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,0.0003299815188172043
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,0.0026854166666666667
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,0.00023280960648148146
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,0.002444894462719298
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,0.0001760720486111111
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,0.0021027124587458747
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,0.00014348263888888888
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,0.0017089
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,0.00012155671296296295
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,0.0014598402777777776
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,0.00010624627976190476
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,0.0013762738095238097
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,9.550889756944444e-05
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,0.0013466197916666668
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,0.00016682902520576132
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,0.0016346257716049384
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,8.990003360215052e-05
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,0.0009650504032258064
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,6.490856986899564e-05
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,0.0007842931222707424
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,4.885949532453245e-05
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,0.0006514576457645765
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,4.017289732537577e-05
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,0.0005314655172413793
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,3.44806679600887e-05
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,0.0004491407982261641
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,2.9848710317460317e-05
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,0.0004068293650793651
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,2.667578125e-05
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,0.00038763368055555556
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,0.0004518952546296297
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,0.002507122395833333
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,0.0002406308803763441
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,0.0017592058982683985
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,0.00016808360625909753
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,0.0016629431652046783
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,0.00012730335533553356
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,0.0014438465783664456
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,0.0001033574408709107
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,0.0011704343971631207
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,8.74038594789357e-05
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,0.0010021157407407407
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,7.627008928571428e-05
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,0.0009701097328244276
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,6.913823784722222e-05
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,0.0009603125000000001
