cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,7.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,27.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,12.294871794871796
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,42.0
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,17.952380952380953
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,46.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,23.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,53.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,29.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,64.0
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,33.0
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,77.0
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,37.0
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,81.88787878787879
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,41.0
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,83.0
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,5.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,15.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,9.0
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,25.0
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,12.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,31.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,16.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,37.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,19.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,46.0
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,22.28333333333333
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,54.0
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,26.0
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,60.0
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,29.0
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,63.0
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,7.0
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,35.0
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,13.014492753623188
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,49.01515151515152
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,19.0
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,52.0
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,25.0
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,60.0
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,31.0
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,74.0
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,36.0
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,86.0
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,41.0
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,89.0
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,45.51282051282052
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,90.0
