cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,105.48425641025642
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,120.61554537037038
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,146.8802307692308
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,149.96789457070707
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,188.67030952380955
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,161.75681666666668
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,237.90497619047622
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,184.06115740740742
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,318.7881190476191
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,224.8085277777778
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,363.11577777777774
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,264.22371759259255
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,447.14793333333336
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,291.4838818181818
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,571.7533999999999
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,337.248269570707
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,92.65983333333334
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,91.94527272727272
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,127.38872222222221
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,114.80182959401712
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,159.34231578947367
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,129.53201111111113
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,201.84082456140354
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,150.6058310185185
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,265.81989912280704
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,181.8886666666667
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,322.67037142857146
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,215.74102777777776
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,369.4922658730158
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,265.4313666666667
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,486.4515714285714
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,284.1690750000001
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,107.41340579710146
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,136.66199074074075
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,151.7012608695652
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,167.17565909090908
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,197.22738194444443
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,176.48530000000002
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,249.11629166666668
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,199.22521296296296
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,299.92350864512474
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,245.11591666666666
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,382.17151020408164
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,272.6840212962963
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,477.11831281045755
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,303.1561515151515
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,600.2943205128205
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,364.6334444444444
