cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,0.065104437885617
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,0.49505669039523315
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,0.04846776122136432
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,0.40272625554186153
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,0.04392426851955192
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,0.39547835598090275
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,0.04188841562127976
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,0.38702770438210493
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,0.04574055822222222
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,0.38417529193333333
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,0.04413927063927469
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,0.3857244453293982
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,0.04750780868551588
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,0.401158992999026
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,0.05460757256372974
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,0.4541451514926215
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,0.015458350915298496
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,0.15029615355932002
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,0.011452236887787485
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,0.11078956452806211
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,0.010342676514468655
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,0.10159106798474649
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,0.009861841237252837
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,0.0981133142514859
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,0.01067875479599119
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,0.09666749257140927
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,0.011126405763836647
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,0.09689809049514453
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,0.011028862452916548
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,0.10798527608774251
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,0.01297648117581225
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,0.11015347874600694
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,0.04853960838620645
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,0.3426277847829861
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,0.036504007253243334
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,0.2940964061614522
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,0.033150680365549946
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,0.29348502167976365
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,0.03171333639221751
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,0.2876506280084928
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,0.030999380787829905
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,0.28689211126686864
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,0.03340325032103993
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,0.2732611779273148
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,0.03638985135364097
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,0.29409471751857796
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,0.04150323281835103
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,0.3501621699363425
