cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,1620.2318007410238
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,243.6399355181343
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,3030.4727476388075
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,372.38169123351435
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,4295.355398401671
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,409.01560997760396
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,5679.493184115167
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,475.57619960859137
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,6969.484306560512
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,585.1717479080111
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,8226.612711259226
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,685.0064457203748
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,9412.094261003536
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,726.5996003702197
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,10470.228695424956
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,742.6001059752234
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,5994.160780875112
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,611.7608185133173
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,11123.466365156939
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,1036.215307156362
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,15406.286134762953
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,1275.0334939884815
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,20466.850780136854
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,1535.0192088487354
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,24892.404247087652
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,1881.589618815896
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,29001.758352172816
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,2226.473310706572
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,33502.285002077275
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,2458.0329883633594
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,37487.18699663201
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,2579.755191981261
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,2212.902193052665
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,398.8636540688767
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,4155.742598107154
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,568.4382942237226
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,5949.420185919381
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,601.3434619558499
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,7855.252497974615
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,692.5943621595798
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,9675.162151595452
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,854.383639462223
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,11441.142370160434
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,997.8887261673219
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,13111.29971611695
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,1030.8112228588288
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,14463.776213240255
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,1041.3276928083305
