cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,104.095937553566
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,117.82336104674934
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,145.61798324889895
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,147.5161623997931
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,186.97933108788328
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,158.99797902785915
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,234.31422091848054
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,178.6179547672884
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,316.13278319579894
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,218.06166734936707
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,353.9407283980005
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,257.64395838585847
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,437.7559905225439
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,287.0578771181676
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,545.0570886492997
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,324.401259326013
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,91.73943207330822
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,90.65963330540444
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,124.66626797611596
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,112.93406314088837
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,157.56543677073475
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,127.54252721567808
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,200.38118524512305
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,144.81234432389073
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,260.19524566908825
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,177.20646952398778
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,322.4791928326216
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,209.88851177620074
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,365.13502285002073
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,256.24476936432535
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,477.91266006085164
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,277.1296192621721
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,106.85740711096881
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,132.29107698380136
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,150.19912933282595
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,161.82689239121657
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,195.2264116477004
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,173.85856560023078
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,247.00445584661085
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,192.2891065456283
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,303.01847575829476
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,235.61550842643436
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,378.21403915584045
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,266.904743205348
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,473.7244285756095
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,297.8895664789633
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,594.9715778008657
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,356.93325378746783
