cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-all,0.06424755859375
FULL,8,330,32,Qwen/Qwen3-8B_decoding-all,0.4835962577160494
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-all,0.04805124327956989
FULL,8,630,32,Qwen/Qwen3-8B_decoding-all,0.3961423611111111
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-all,0.04353058449074074
FULL,8,930,32,Qwen/Qwen3-8B_decoding-all,0.38873327850877193
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-all,0.04125618489583333
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-all,0.3755821988448845
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-all,0.04535956597222222
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-all,0.37264558333333336
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-all,0.04302387152777778
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-all,0.3761190277777777
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-all,0.04650994543650794
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-all,0.3950702380952381
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-all,0.052057801649305555
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-all,0.43684515625
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-attn,0.015304800025720164
FULL,8,330,32,Qwen/Qwen3-8B_decoding-attn,0.1481945730452675
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-attn,0.011207501680107528
FULL,8,630,32,Qwen/Qwen3-8B_decoding-attn,0.10898706317204301
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-attn,0.010227347161572052
FULL,8,930,32,Qwen/Qwen3-8B_decoding-attn,0.1000307268922853
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-attn,0.00979052358360836
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-attn,0.09433910891089109
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-attn,0.010452796888815208
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-attn,0.09417912798408488
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-attn,0.01111929797209904
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-attn,0.09426949371766445
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-attn,0.010898809523809522
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-attn,0.10424789682539683
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-attn,0.012748693576388888
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-attn,0.10742477430555557
PIECEWISE,8,330,32,Qwen/Qwen3-8B_prefill-mlp,0.048288355195473254
FULL,8,330,32,Qwen/Qwen3-8B_decoding-mlp,0.331669921875
PIECEWISE,8,630,32,Qwen/Qwen3-8B_prefill-mlp,0.03614254872311828
FULL,8,630,32,Qwen/Qwen3-8B_decoding-mlp,0.2846868235930736
PIECEWISE,8,930,32,Qwen/Qwen3-8B_prefill-mlp,0.03281435930676856
FULL,8,930,32,Qwen/Qwen3-8B_decoding-mlp,0.289116913377193
PIECEWISE,8,1230,32,Qwen/Qwen3-8B_prefill-mlp,0.03144449601210121
FULL,8,1230,32,Qwen/Qwen3-8B_decoding-mlp,0.27763596854304634
PIECEWISE,8,1530,32,Qwen/Qwen3-8B_prefill-mlp,0.03131921419098144
FULL,8,1530,32,Qwen/Qwen3-8B_decoding-mlp,0.2757724955673759
PIECEWISE,8,1830,32,Qwen/Qwen3-8B_prefill-mlp,0.033057366731337766
FULL,8,1830,32,Qwen/Qwen3-8B_decoding-mlp,0.2674694444444444
PIECEWISE,8,2130,32,Qwen/Qwen3-8B_prefill-mlp,0.036131004464285715
FULL,8,2130,32,Qwen/Qwen3-8B_decoding-mlp,0.2889855677480916
PIECEWISE,8,2430,32,Qwen/Qwen3-8B_prefill-mlp,0.04113528645833333
FULL,8,2430,32,Qwen/Qwen3-8B_decoding-mlp,0.34276746527777774
