cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len,target_sm_clock,iteration
PIECEWISE,False,8,,9.3704,1,91,,,,,1774573352.386467,108.871,32,615,615,12481,84068.25,97887.0,100,7,1194897440,1774573352381102,0,,0,0,32795873528,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,2,91,,,,,1774573352.4319792,106.509,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573352424449,0,,0,0,32795883907,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,3,91,,,,,1774573352.5405812,106.792,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573352532854,0,,0,0,32795894582,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,4,91,,,,,1774573352.645637,107.062,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573352641456,0,,0,0,32795905373,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,5,91,,,,,1774573352.7506957,107.017,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573352746519,0,,0,0,32795916147,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,6,91,,,,,1774573352.8557124,107.256,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573352851545,0,,0,0,32795926890,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,7,91,,,,,1774573352.9608498,107.347,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573352956622,0,,0,0,32795937649,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,8,91,,,,,1774573353.0658665,107.378,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353061721,0,,0,0,32795948369,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,9,91,,,,,1774573353.1709888,107.232,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353166722,0,,0,0,32795959128,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,10,91,,,,,1774573353.2760906,107.132,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353271826,0,,0,0,32795969902,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,11,91,,,,,1774573353.3811634,106.971,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353376998,0,,0,0,32795980696,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,12,91,,,,,1774573353.4862115,106.948,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353482038,0,,0,0,32795991438,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,13,91,,,,,1774573353.5914142,107.916,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353587077,0,,0,0,32796002152,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,14,91,,,,,1774573353.6969674,107.872,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353692263,0,,0,0,32796023613,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,15,91,,,,,1774573353.8031733,107.933,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353797886,0,,0,0,32796034362,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,9.3704,16,91,,,,,1774573353.9082627,107.836,32,330,330,12481,84068.25,97887.0,100,7,1194897440,1774573353904032,0,,0,0,32796045128,,0,Qwen/Qwen3-8B_prefill-mlp,seg,81,32,330,0
