cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,28.300469483568076
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,28.75
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,31.96581196581197
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,31.791666666666668
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,35.27380952380952
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,34.0
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,39.42857142857143
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,36.19047619047619
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,43.96296296296296
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,40.154761904761905
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,49.42222222222222
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,44.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,55.794871794871796
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,47.5
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,62.77777777777778
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,53.3425925925926
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-attn,35.407407407407405
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-attn,31.972222222222218
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-attn,33.26666666666667
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-attn,32.0
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,35.03787878787879
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,33.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,38.0
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,35.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,42.81547619047618
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,38.083333333333336
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,47.40404040404041
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,42.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,53.333333333333336
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,45.7962962962963
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,60.57142857142856
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,51.15
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-attn,37.303030303030305
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-attn,32.63690476190476
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-attn,33.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-attn,31.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,34.06060606060606
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,32.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,37.060606060606055
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,34.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,42.02777777777778
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,37.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,46.083333333333336
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,40.04545454545455
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,52.205128205128204
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,44.020833333333336
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,59.047619047619044
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,48.73717948717948
NONE,16,330,256,Qwen/Qwen3-8B_prefill-attn,36.484848484848484
FULL,16,330,256,Qwen/Qwen3-8B_decoding-attn,32.032051282051285
NONE,16,630,256,Qwen/Qwen3-8B_prefill-attn,32.09090909090909
FULL,16,630,256,Qwen/Qwen3-8B_decoding-attn,30.125
NONE,16,930,256,Qwen/Qwen3-8B_prefill-attn,33.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-attn,31.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-attn,35.72222222222222
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-attn,32.18518518518518
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-attn,40.55555555555555
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-attn,35.074074074074076
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-attn,44.80555555555555
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-attn,39.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-attn,50.05555555555555
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-attn,43.26363636363637
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-attn,58.692307692307686
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-attn,47.25
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-mlp,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-mlp,28.86111111111111
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-mlp,33.14207650273224
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-mlp,32.0
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,37.10606060606061
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,34.083333333333336
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,42.05934343434344
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,37.51851851851851
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,46.111111111111114
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,41.333333333333336
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,55.379629629629626
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,46.63333333333333
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,64.1025641025641
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,52.098484848484844
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,68.76023391812866
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,57.701388888888886
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-mlp,33.65396249243799
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-mlp,31.0
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-mlp,33.58064516129033
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-mlp,32.00757575757576
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,36.65151515151515
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,34.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,41.945578231292515
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,37.425925925925924
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,45.93333333333334
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,41.333333333333336
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,54.632154882154886
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,46.125
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,63.59863945578231
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,51.79545454545454
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,68.21637426900584
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,57.229166666666664
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-mlp,38.7875
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-mlp,34.75
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-mlp,35.31944444444444
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-mlp,33.43181818181818
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,36.88405797101449
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,34.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,40.62820512820513
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,36.34259259259259
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,44.666666666666664
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,40.09166666666667
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,51.67948717948718
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,44.25
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,59.373333333333335
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,48.56060606060606
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,64.24980842911877
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,54.21527777777777
NONE,16,330,256,Qwen/Qwen3-8B_prefill-mlp,37.31182795698925
FULL,16,330,256,Qwen/Qwen3-8B_decoding-mlp,33.666666666666664
NONE,16,630,256,Qwen/Qwen3-8B_prefill-mlp,34.623655913978496
FULL,16,630,256,Qwen/Qwen3-8B_decoding-mlp,33.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,36.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,34.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,39.94949494949495
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,36.083333333333336
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,44.1875
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,40.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,50.99910873440285
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,44.208333333333336
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,58.833333333333336
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,48.46212121212121
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,64.91891891891892
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,54.333333333333336
