cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0,0,330,1394337,131072,14.7296,1,95.02905633802817,1399.7399882366196,100.0,3.9295774647887325,28.239436619718308
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0,1,330,1404601,131072,14.7302,1,95.5592676056338,1407.607123684507,100.0,3.8309859154929575,28.267605633802816
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0,2,330,1404389,131072,14.73,1,95.88839436619719,1412.4360490140846,100.0,3.971830985915493,28.3943661971831
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8192,0,330,159008,416,1.261,26,132.97914285714282,167.6866991428571,100.0,30.0,28.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8192,1,330,159452,416,1.2604,26,132.4865714285714,166.9860746285714,100.0,30.0,28.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8192,2,330,159039,416,1.2611,26,132.70814285714286,167.35823895714287,100.0,30.0,28.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8193,0,330,159571,416,1.2608,26,132.67685714285713,167.27898148571427,100.0,30.0,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8193,1,330,159324,416,1.2618,26,132.5484285714286,167.2496071714286,100.0,30.0,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8193,2,330,159561,416,1.2615,26,132.36528571428568,166.9788079285714,100.0,30.0,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8194,0,330,172655,416,1.2608,26,133.07857142857142,167.78546285714285,100.0,30.0,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8194,1,330,159614,416,1.2616,26,132.18985714285714,166.77072377142858,100.0,30.0,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8194,2,330,159671,416,1.2621,26,132.42371428571428,167.1319698,100.0,30.0,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8195,0,330,159506,416,1.2621,26,132.56,167.303976,100.0,30.0,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8195,1,330,172589,416,1.2619,26,133.024,167.8629856,100.0,30.0,29.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,8195,2,330,159493,416,1.261,26,133.08685714285713,167.82252685714283,100.0,30.0,29.0
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,0,0,630,1083877,131072,7.9353,1,136.49389743589742,1083.120024323077,100.0,6.641025641025641,31.76923076923077
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,0,1,630,1085687,131072,7.9343,1,136.67151282051282,1084.3927841717948,100.0,6.82051282051282,32.0
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,0,2,630,1071531,131072,7.9352,1,136.48423076923072,1083.0296679999997,100.0,6.666666666666667,32.12820512820513
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8192,0,630,246694,800,1.5349,50,164.25687499999998,252.11787743749997,100.0,46.5,31.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8192,1,630,229557,800,1.5348,50,164.9255,253.1276574,100.0,46.75,31.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8192,2,630,246461,800,1.5347,50,164.4105,252.32079435,100.0,46.625,31.5
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8193,0,630,246958,800,1.536,50,162.3865,249.425664,100.0,46.0,32.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8193,1,630,248967,800,1.536,50,163.815875,251.621184,100.0,46.0,32.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8193,2,630,247736,800,1.5362,50,165.03837500000003,253.53195167500004,100.0,46.0,32.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8194,0,630,233402,800,1.5365,50,164.24400000000003,252.36090600000003,100.0,46.0,32.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8194,1,630,248095,800,1.5363,50,165.66500000000002,254.51113950000004,100.0,46.0,32.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8194,2,630,247102,800,1.5363,50,161.14375,247.56514312500002,100.0,46.0,32.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8195,0,630,248267,800,1.5368,50,160.834875,247.17103590000002,100.0,46.0,32.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8195,1,630,250381,800,1.5365,50,163.613,251.39137449999998,100.0,46.0,32.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,8195,2,630,226726,800,1.5366,50,167.780125,257.810940075,100.0,46.0,32.0
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,0,0,930,977225,131072,5.6483,1,174.3612857142857,984.8448501,100.0,9.107142857142858,34.964285714285715
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,0,1,930,979272,131072,5.6423,1,174.2667857142857,983.2654850357142,100.0,9.0,35.32142857142857
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,0,2,930,980440,131072,5.6417,1,174.4109642857143,983.9743372107143,100.0,8.214285714285714,35.535714285714285
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,8192,0,930,370935,1216,2.117,76,177.00500000000002,374.71958500000005,100.0,51.0,34.0
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,8192,1,930,370977,1216,2.1173,76,177.17181818181817,375.12589063636364,100.0,51.0,34.0
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,8192,2,926,370746,1216,2.1169,76,176.7269090909091,374.1131938545454,100.0,51.0,34.0
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,8193,0,922,371574,1216,2.1184,76,178.84799999999998,378.8716031999999,100.0,51.0,34.0
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,8193,1,922,372068,1216,2.1186,76,178.23863636363637,377.616375,100.0,51.0,34.0
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,8193,2,922,371462,1216,2.1177,76,177.1567272727273,375.16480134545463,100.0,51.0,34.0
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,8194,0,922,354067,1216,2.1179,76,177.2718181818182,375.4439837272728,100.0,51.0,34.0
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,8194,1,922,354598,1216,2.1184,76,178.6640909090909,378.4820101818181,100.0,51.0,34.0
