cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,latency_sec_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0.00011238047281901043
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,0.003032071314102564
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,6.053873697916667e-05
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,0.0019199583333333332
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,4.306106567382812e-05
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,0.0017416803728070177
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,3.219960530598958e-05
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,0.0014982812499999998
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,2.6142628987630207e-05
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,0.0012108786962365592
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,2.2022755940755207e-05
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,0.001048826388888889
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,1.912104288736979e-05
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,0.00101296096743295
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,1.760711669921875e-05
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,0.000998671875
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-attn,8.38506062825521e-05
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-attn,0.0019722222222222224
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-attn,4.545084635416667e-05
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-attn,0.0011981924019607842
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,3.2568868001302084e-05
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,0.0010734135142543859
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,2.4406941731770832e-05
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,0.0009246235561056105
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,1.9785054524739583e-05
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,0.0007521958333333334
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,1.6733805338541667e-05
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,0.0006505381944444444
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,1.460418701171875e-05
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,0.0006182023809523808
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,1.3574388292100696e-05
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,0.0006046848958333333
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-attn,6.336568196614583e-05
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-attn,0.001161615296803653
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-attn,3.456556532118055e-05
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-attn,0.0006716276041666666
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,2.5214436848958333e-05
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,0.0005629816444174757
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,1.8723842075892858e-05
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,0.00047759462759462766
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,1.5186451099537037e-05
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,0.0003891544117647059
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,1.2906346176609847e-05
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,0.00033433138341543514
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,1.1301519931891028e-05
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,0.0003068391032417196
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,1.0561116536458334e-05
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,0.00029634934413580243
NONE,16,330,256,Qwen/Qwen3-8B_prefill-attn,6.286214192708334e-05
FULL,16,330,256,Qwen/Qwen3-8B_decoding-attn,0.0009406925154320987
