cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,3.910798122065728
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,30.0
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,6.7094017094017095
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,46.15625
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,8.773809523809524
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,51.0
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,12.253968253968253
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,59.208333333333336
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,14.981481481481481
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,73.85714285714286
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,16.977777777777778
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,85.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,19.76923076923077
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,88.0
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,21.611111111111114
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,89.0
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-attn,4.617283950617284
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-attn,26.0
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-attn,8.177777777777777
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-attn,42.041666666666664
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,11.404040404040403
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,47.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,15.296296296296296
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,55.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,18.38095238095238
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,67.625
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,21.45959595959596
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,78.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,24.8
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,82.0
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,26.5952380952381
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,84.0
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-attn,6.0
