cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,95.49223943661973
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,132.67728571428572
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,136.54988034188034
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,164.00953125
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,174.3463452380952
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,177.36338636363635
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,232.97579365079363
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,201.29576984126982
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,297.3163888888889
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,249.9549404761905
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,367.09773333333334
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,284.58184523809524
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,471.55400000000003
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,307.66939583333334
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,599.4071944444445
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,370.04489814814815
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-attn,101.63588888888891
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-attn,125.6644814814815
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-attn,143.80875555555556
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-attn,156.03989166666665
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,181.76004797979797
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,168.96821794871795
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,243.47570370370372
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,192.06231249999996
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,333.65949404761903
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,236.9430625
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,383.4603712121212
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,278.80975462962965
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,484.2847
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,307.21809907407413
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,599.8879285714287
