cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0.010731463523699981
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,0.40228686983173073
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,0.008266556997921936
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,0.3148912154127604
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,0.0075075395516622625
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,0.3089104785187401
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,0.007501727141643706
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,0.30159732600644845
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,0.007772657272466024
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,0.30266509639976963
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,0.008084503291609023
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,0.29847736734424607
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,0.009016602930509127
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,0.31165708589709046
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,0.010553819125323827
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,0.36955337871383104
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-attn,0.008522257085559986
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-attn,0.24783805116169408
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-attn,0.006536229254659017
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-attn,0.18696579994944854
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,0.005919719385682694
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,0.18137277555325362
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,0.005942498510346589
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,0.17758530567244227
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,0.006601469394511267
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,0.17822755737395835
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,0.006416751495332429
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,0.18137638578235918
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,0.007072583713277181
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,0.1899209164330357
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,0.008143138697742282
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,0.21508717167317706
