cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,8898.343056542459
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,329.8075461975013
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,16518.34924048931
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,520.8446363853383
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,23222.834464307867
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,574.1581610570302
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,31056.28129590725
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,667.4314318489937
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,38251.69995233324
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,825.8465551570315
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,45407.57762971004
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,953.446643404334
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,52298.40264939418
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,987.204869832452
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,56795.21622324292
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,1001.3298912618321
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-attn,11925.972206215081
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-attn,507.0422535211267
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-attn,22001.790510295432
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-attn,834.5905034646757
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,30704.168163290804
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,931.6074250235424
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,40971.950152127705
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,1081.5212238501308
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,50543.20162472043
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,1329.4410254421775
