cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,95.11984666144676
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,128.1362438144568
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,136.15300275574674
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,158.4423490093101
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,173.45174607111852
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,172.5935485901804
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,233.179032334497
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,187.6532137518685
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,298.72272537136297
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,242.65687546394898
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,371.56991581694524
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,267.8505737232753
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,471.93677098434574
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,296.42823793623126
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,589.6068405696624
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,356.8233852251688
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-attn,101.54709839436602
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-attn,123.14583333333331
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-attn,138.64726947179946
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-attn,153.38762603663267
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,179.149501038527
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,165.90324485659104
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,242.50406368524156
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,185.6125106663023
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,325.05102958944957
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,228.33559522952243
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,384.3772036474164
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,270.8983480558299
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,473.22850276878074
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,297.21494733193407
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,592.181227752451
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,344.3867544649203
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-attn,107.19285290009793
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-attn,105.58751811905755
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-attn,142.99260334713256
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-attn,132.72675154472716
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,183.33290299675633
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,148.30740937843134
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,247.0196516717891
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,171.47106289147382
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,340.0650491217624
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,208.93217603527003
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,380.75393015290695
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,245.1664121434437
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,480.1333536433378
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,280.710402319681
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,601.3334617607397
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,322.52467819889023
NONE,16,330,256,Qwen/Qwen3-8B_prefill-attn,95.94941420156644
FULL,16,330,256,Qwen/Qwen3-8B_decoding-attn,96.0506232206512
NONE,16,630,256,Qwen/Qwen3-8B_prefill-attn,134.82238153410918
FULL,16,630,256,Qwen/Qwen3-8B_decoding-attn,118.671346148571
NONE,16,930,256,Qwen/Qwen3-8B_prefill-attn,167.69090126909015
FULL,16,930,256,Qwen/Qwen3-8B_decoding-attn,136.36519705477954
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-attn,221.54963029352456
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-attn,157.94944878922078
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-attn,304.9701403404001
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-attn,191.8230247971501
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-attn,372.0683604512892
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-attn,230.35134216473438
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-attn,446.4406779661017
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-attn,284.06159323853194
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-attn,587.6761623330895
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-attn,301.5476491076188
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-mlp,105.21465263324362
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-mlp,131.57250057894038
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-mlp,155.25424398571116
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-mlp,164.01573005490678
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,198.8132964235619
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,176.63862917332008
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,270.5075948173622
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,195.3298786772702
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,320.34404133644705
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,242.92867818272964
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,434.4419506667829
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,271.4213884157118
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,559.6384632077992
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,306.1980327442932
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,597.8404749159523
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,371.2412485936839
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-mlp,107.04589648350533
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-mlp,135.96891411858286
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-mlp,154.16586864785796
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-mlp,170.2610548748002
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,200.56342933789827
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,176.08728297595664
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,271.3939902868648
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,198.02331132338554
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,318.9283587446873
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,244.99482316784648
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,434.74450251526025
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,268.76804479172847
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,554.3799584970875
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,304.7196534842371
