cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-attn,0.010689613342285157
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-attn,0.3885182291666667
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-attn,0.008242530822753906
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-attn,0.30420270833333335
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,0.007469017028808593
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,0.30060279605263157
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,0.007508272806803385
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,0.2811572916666667
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,0.007809397379557292
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,0.2938280409946236
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,0.008182993570963542
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,0.28092875
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,0.00902392323811849
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,0.3002702346743295
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,0.010381276448567707
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,0.35634947916666665
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-attn,0.008514785766601562
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-attn,0.24287094907407406
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-attn,0.0063016357421875
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-attn,0.18378788807189544
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,0.005834696451822916
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,0.1780827850877193
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,0.005918782552083334
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,0.17162169966996701
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,0.00643115234375
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,0.1717530833333333
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,0.006432093302408855
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,0.17622972222222222
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,0.006911117553710937
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,0.1837389880952381
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,0.008038497924804688
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,0.20824546875
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-attn,0.006792348225911459
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-attn,0.12265207619863014
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-attn,0.004942620171440972
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-attn,0.08914295014880952
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,0.004622635904947917
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,0.08349434921116505
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,0.004625156947544643
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,0.08189365842490842
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,0.005164381239149305
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,0.08130687806372548
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,0.004914142030658143
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,0.08196682573891625
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,0.005426236666165866
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,0.08613292811839322
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,0.006350752766927084
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,0.09557997685185185
NONE,16,330,256,Qwen/Qwen3-8B_prefill-attn,0.006031585693359375
FULL,16,330,256,Qwen/Qwen3-8B_decoding-attn,0.09035410236625514
NONE,16,630,256,Qwen/Qwen3-8B_prefill-attn,0.004550547960069444
FULL,16,630,256,Qwen/Qwen3-8B_decoding-attn,0.06541658266129032
NONE,16,930,256,Qwen/Qwen3-8B_prefill-attn,0.004037320223721591
FULL,16,930,256,Qwen/Qwen3-8B_decoding-attn,0.06033976983260553
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-attn,0.00402333984375
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-attn,0.057629176980198024
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-attn,0.0044928253448761266
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-attn,0.05705796861184792
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-attn,0.004639954065393518
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-attn,0.05791450711382114
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-attn,0.0048477313701923075
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-attn,0.06458484126984126
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-attn,0.005772422960069444
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-attn,0.06530940972222223
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-mlp,0.01895001475016276
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-mlp,0.17385130208333335
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-mlp,0.014987663269042968
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-mlp,0.14578196022727272
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,0.01362543741861979
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,0.14832988395467836
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,0.013863225301106771
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,0.1424967577262693
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,0.01329137420654297
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,0.14364732934397162
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,0.015211036682128906
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,0.13757608796296297
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,0.017051484425862632
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,0.14994171437659032
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,0.01789358605278863
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,0.1798831423611111
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-mlp,0.019319854736328124
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-mlp,0.17917356770833334
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-mlp,0.014902669270833334
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-mlp,0.15131628787878787
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,0.01376563008626302
