cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,58.36111111111111
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,52.76851851851851
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,62.53846153846155
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,53.708333333333336
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,58.97777777777778
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,51.35714285714286
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,52.392156862745104
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,46.72619047619048
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,47.06349206349207
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,43.333333333333336
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,43.07142857142858
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,40.083333333333336
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,58.595238095238095
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,52.39166666666667
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,61.73333333333333
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,52.5
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,57.75505050505051
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,50.079861111111114
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,51.910714285714285
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,46.0625
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,47.18518518518519
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,43.34375
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,43.75757575757575
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,40.41025641025641
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-attn,55.15873015873016
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-attn,48.535714285714285
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-attn,57.53333333333333
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-attn,49.035714285714285
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-attn,55.099999999999994
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-attn,48.06944444444445
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-attn,50.666666666666664
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-attn,45.236111111111114
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-attn,46.86666666666667
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-attn,43.166666666666664
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-attn,44.0
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-attn,40.4537037037037
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,57.666666666666664
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,51.107142857142854
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,61.23076923076923
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,51.07638888888889
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,56.89529914529914
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,48.42424242424243
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,51.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,44.74242424242424
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,46.18181818181819
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,41.96969696969697
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,43.0
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,39.254629629629626
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-attn,54.57142857142858
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-attn,47.90151515151515
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-attn,57.23809523809524
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-attn,48.425000000000004
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-attn,54.0
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-attn,46.550000000000004
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-attn,49.0
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-attn,44.129629629629626
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-attn,46.0
