cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,0,0,2371,1320959,131072,2.2852,1,599.6613333333333,1370.3460789333335,100.0,22.333333333333332,54.75
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,0,1,2364,1382418,131072,2.294,1,601.8682499999999,1380.6857654999997,100.0,22.333333333333332,58.916666666666664
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,0,2,2354,1379704,131072,2.302,1,603.1335833333334,1388.4135088333335,100.0,22.166666666666668,61.416666666666664
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8192,0,2422,585938,1600,1.5978,100,366.84711111111113,586.1483141333334,100.0,90.0,52.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8192,1,2422,550383,1600,1.5979,100,367.028,586.4740412000001,100.0,90.0,52.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8192,2,2422,550957,1600,1.5978,100,367.3205,586.9046949,100.0,90.0,52.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8193,0,2422,587442,1600,1.5979,100,367.94011111111115,587.9315035444446,100.0,90.0,52.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8193,1,2422,552256,1600,1.5978,100,368.127,588.1933206000001,100.0,90.0,52.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8193,2,2422,552693,1600,1.5979,100,368.4641111111111,588.7688031444444,100.0,90.0,53.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8194,0,2422,553305,1600,1.5979,100,368.889375,589.4483323125,100.0,90.0,53.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8194,1,2422,589911,1600,1.5979,100,369.34133333333335,590.1705165333334,100.0,90.0,53.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8194,2,2422,554349,1600,1.598,100,369.2055555555555,589.9904777777778,100.0,90.0,53.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8195,0,2422,554683,1600,1.5983,100,369.5614444444444,590.6700566555555,100.0,90.0,53.22222222222222
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8195,1,2422,555150,1600,1.5981,100,370.072875,591.4134615375001,100.0,90.0,54.0
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,8195,2,2422,556166,1600,1.5981,100,370.107625,591.4689955125,100.0,90.0,54.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,0,0,2130,1156324,131072,2.5065,1,478.2230769230769,1198.6661423076923,100.0,19.76923076923077,61.38461538461539
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,0,1,2130,1161903,131072,2.5062,1,481.45453846153845,1206.6213642923078,100.0,19.692307692307693,62.53846153846154
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,0,2,2130,1166277,131072,2.5061,1,484.7244615384615,1214.7679730615384,100.0,20.615384615384617,63.69230769230769
