cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,latency_sec_per_token
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,1.7499796549479167e-05
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,0.00099871875
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,1.9121297200520835e-05
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,0.0010130447796934865
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,2.2005462646484372e-05
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,0.0010483472222222222
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,2.6105244954427085e-05
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,0.0012142305107526881
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,3.193715413411458e-05
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,0.0014909166666666669
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,4.305267333984375e-05
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,0.0017107524671052632
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,1.3524881998697918e-05
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,0.0006043229166666667
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,1.4603424072265626e-05
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,0.0006179375
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,1.6724904378255208e-05
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,0.00065078125
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,1.9792683919270832e-05
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,0.0007517458333333334
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,2.417144775390625e-05
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,0.0009233962458745876
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,3.1984965006510414e-05
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,0.0010560135690789476
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-attn,1.1477661132812501e-05
