cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,22.277777777777775
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,90.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,20.025641025641026
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,89.0
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,16.933333333333334
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,86.0
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,13.588235294117647
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,74.98809523809524
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,10.936507936507937
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,60.0
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,7.7976190476190474
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,52.0
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,27.09523809523809
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,85.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,25.066666666666663
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,83.0
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,20.939393939393938
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,79.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,17.148809523809522
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,69.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,13.296296296296296
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,55.0
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,10.636363636363635
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,48.0
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-attn,31.90476190476191
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-attn,80.0
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-attn,29.399999999999995
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-attn,78.0
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-attn,24.655555555555555
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-attn,73.0
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-attn,20.166666666666668
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-attn,63.0
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-attn,16.0
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-attn,51.0
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-attn,11.0
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-attn,44.0
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,34.0
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,74.0
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,32.0
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,71.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,27.0
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,65.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,23.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,56.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,17.757575757575754
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,46.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,13.0
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,39.22222222222222
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-attn,32.0
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-attn,70.0
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-attn,29.0
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-attn,67.0
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-attn,25.0
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-attn,61.0
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-attn,21.0
