cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,601.5543888888889
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,368.57542013888883
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,481.467358974359
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,313.2387916666666
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,378.56475555555556
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,278.63290476190474
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,279.2289019607843
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,228.74432142857142
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,218.81057142857142
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,205.98333928571432
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,178.27473809523812
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,181.52820454545454
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,600.3296190476191
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,356.9603
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,495.95523333333335
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,300.84673981481484
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,395.237053030303
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,264.97598379629636
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,290.931875
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,218.1018645833333
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,229.4016296296296
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,196.42317708333334
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,185.00072727272723
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,173.4207820512821
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-attn,572.8307619047619
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-attn,342.0770238095238
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-attn,473.82633333333325
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-attn,285.9489801587301
