cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,0.01052715391354031
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,0.36810325613809314
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,0.00920627715978378
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,0.317324891145085
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,0.008330491175248889
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,0.29210401919444445
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,0.007289340363072414
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,0.27774848677275343
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,0.00698818666307964
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,0.3071039998913691
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,0.007675204554276238
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,0.3105497863125498
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,0.00811938278406537
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,0.21571919537734374
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,0.007242644593226114
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,0.18590446801054894
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,0.006610302038872844
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,0.17244128482151813
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,0.005758325363576979
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,0.1639573400052083
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,0.00554496943274604
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,0.1813763672300433
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,0.005917664409660569
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,0.18313402607066043
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-attn,0.00657517285398453
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-attn,0.1357558631439732
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-attn,0.005844984266662598
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-attn,0.11677561096386055
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-attn,0.005509023284318713
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-attn,0.10957388908854165
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-attn,0.004419145530700683
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-attn,0.10631055021319444
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-attn,0.004709533349405925
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-attn,0.1156127711444582
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-attn,0.0054241591157701274
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-attn,0.11795061095120615
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,0.006319747121039496
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,0.09862222628681022
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,0.0057532658506495
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,0.0853994124818314
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,0.005240665476142035
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,0.08025505724162615
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,0.004598784557333109
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,0.07832514619596703
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,0.004417506983531605
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,0.08503892236201299
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,0.004887260294411398
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,0.08626736829279598
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-attn,0.005818014894670758
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-attn,0.07754978112847222
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-attn,0.004863302816560069
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-attn,0.06727725647859407
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-attn,0.0044366791996415045
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-attn,0.06362533750538794
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-attn,0.003924684489061466
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-attn,0.06655099944985703
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-attn,0.00376508226686508
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-attn,0.06800327702105378
NONE,16,930,512,Qwen/Qwen3-8B_prefill-attn,0.0041949009434678825
FULL,16,930,512,Qwen/Qwen3-8B_decoding-attn,0.07034890244290745
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-attn,0.0058674349610001
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-attn,0.06803562082630997
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-attn,0.005064006289348816
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-attn,0.059156598658207084
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-attn,0.004612330782983097
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-attn,0.05611273420697062
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-attn,0.004013473945558106
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-attn,0.057064356597498526
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-attn,0.0038819856778971357
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-attn,0.06009840723836099
NONE,16,930,256,Qwen/Qwen3-8B_prefill-attn,0.004264932179973452
FULL,16,930,256,Qwen/Qwen3-8B_decoding-attn,0.06205744716354123
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,0.017954558276036307
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,0.18431764106610743
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,0.017653976946359617
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,0.15615411984961125
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,0.01592603888134234
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,0.1428254758192599
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,0.013498257710350884
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,0.13773614842333787
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,0.012848095095815222
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,0.1505329508401324
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,0.013790189095373285
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,0.151890823383075
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,0.017979249332426492
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,0.18421416541775984
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,0.017673337174302486
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,0.15613073172559574
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,0.015791262740792494
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,0.14268045500464718
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,0.013557989165564645
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-mlp,0.13677803992367063
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-mlp,0.012609575738332874
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-mlp,0.15005092577549453
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-mlp,0.013997785133204285
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-mlp,0.15126433592547764
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-mlp,0.017818732180411974
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-mlp,0.18001985740868076
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-mlp,0.017312911653206378
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-mlp,0.15385392026323372
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-mlp,0.0155229068328194
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-mlp,0.1409104991522966
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-mlp,0.013459040503821802
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-mlp,0.14760613523479096
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-mlp,0.012997036816189236
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-mlp,0.14967524963789888
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-mlp,0.013976784728539507
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-mlp,0.15070934274961495
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-mlp,0.018026562099827635
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-mlp,0.1801353484783501
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-mlp,0.01745954699327674
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-mlp,0.15334703582940856
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-mlp,0.015700542504743703
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-mlp,0.1429708418232618
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-mlp,0.013626702663748607
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-mlp,0.14934871823525356
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-mlp,0.01321713852450692
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-mlp,0.14932151029545748
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-mlp,0.01427603553873698
