cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,57143.52147881183
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,1001.2828937075627
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,52297.707080917164
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,987.123195385861
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,45443.261796623105
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,953.8824339900108
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,38306.47832440331
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,823.56685254113
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,31311.49368540078
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,670.7282991448213
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,23227.361332624492
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,584.5381019336386
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,73937.79850325297
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,1654.7444626389724
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,68477.09106107308
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,1618.2866390209365
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,59791.07427963203
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,1536.6146458583435
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,50523.71897003649
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,1330.2368375836247
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,41371.12556025503
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,1082.9587021472648
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,31264.68951260237
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,946.9575290326975
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-attn,87125.76442435522
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-attn,2519.8007782509694
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-attn,81065.4352038923
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-attn,2448.7118755238134
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-attn,70980.17978988412
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-attn,2285.0070216361605
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-attn,60154.20389181251
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-attn,1974.9185346104475
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-attn,49423.83107088989
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-attn,1609.2011252458365
