cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,593.367581235831
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,351.6606172491839
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,463.4388466244613
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,305.53608046377775
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,375.14162881808414
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,262.31104516368356
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,276.2023380418899
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,217.0396147832464
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,217.2334410982466
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,202.5605751495165
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,175.02303739145847
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,177.89034302355856
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,593.9613653742493
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,347.3480134447987
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,492.44222698221967
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,291.16246923569673
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,378.1590511670342
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,259.9669201013739
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,284.29588322968596
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,209.20778853668403
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,216.9496875197273
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,189.7763940468545
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,183.2211179136519
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,170.2617242128967
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-attn,567.9754202487517
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-attn,334.39672425898823
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-attn,473.06683709231845
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-attn,274.28867106365925
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-attn,362.59395646052207
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-attn,235.58834963781055
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-attn,292.21821074531886
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-attn,203.85685132154967
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-attn,225.38964303670184
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-attn,177.82444173367526
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-attn,180.08846925879118
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-attn,159.385041975758
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,587.5377939169178
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,324.02795467056677
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,499.72360833887785
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,271.3171654084717
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,402.80970974132237
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,233.73674052402214
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,302.18589562344675
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,197.6373600378489
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,229.47651725006298
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,173.99695231984603
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,192.08827340459996
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,153.73333696807788
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-attn,571.7219740480749
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-attn,314.2961527528097
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-attn,446.4608382964377
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-attn,262.9351276924156
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-attn,371.07521879452213
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-attn,219.45021482501147
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-attn,277.87273165732205
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-attn,200.84455754376134
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-attn,216.48628048780486
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-attn,168.4066074555796
NONE,16,930,512,Qwen/Qwen3-8B_prefill-attn,186.16570197873202
FULL,16,930,512,Qwen/Qwen3-8B_decoding-attn,144.28851786915553
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-attn,571.8104724354984
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-attn,298.53557307497977
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-attn,443.3935372186958
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-attn,253.36654670930528
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-attn,359.78428127631156
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-attn,213.21317156136027
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-attn,268.71245533511745
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-attn,188.26170857823078
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-attn,212.1110011397037
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-attn,160.54155951397902
NONE,16,930,256,Qwen/Qwen3-8B_prefill-attn,175.1314509779706
FULL,16,930,256,Qwen/Qwen3-8B_decoding-attn,139.58839563258698
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,596.4234435850091
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,377.8225004524028
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,575.8789110592674
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,316.6625066929018
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,450.5262966663639
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,279.97838250544146
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,324.03181965996043
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,231.17375414275085
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,249.6979113323025
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,205.47158205092848
