cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-attn,0.010383811950683594
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-attn,0.35121005208333334
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-attn,0.008861551920572917
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-attn,0.3095217313218391
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-attn,0.008255165100097656
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-attn,0.2749930555555556
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-attn,0.007210329691569011
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-attn,0.26353612231182794
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-attn,0.006937817891438803
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-attn,0.30200093749999996
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-attn,0.007535209655761719
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-attn,0.30432634320175433
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-attn,0.00803325737847222
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-attn,0.20991036458333334
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-attn,0.00719134267171224
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-attn,0.17992020833333336
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-attn,0.006324673970540365
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-attn,0.16918159722222223
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-attn,0.005626978556315104
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-attn,0.15727108333333334
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-attn,0.005243988037109375
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-attn,0.17523880981848186
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-attn,0.005860321044921874
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-attn,0.1797986910635965
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-attn,0.006519029405381944
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-attn,0.13270760416666666
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-attn,0.005835617065429687
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-attn,0.11201345238095238
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-attn,0.005108383178710938
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-attn,0.10310180555555555
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-attn,0.004857818603515625
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-attn,0.10322291666666666
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-attn,0.004560343424479167
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-attn,0.11050479579207921
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-attn,0.0049283243815104166
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-attn,0.11403971354166667
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-attn,0.006188559299045139
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-attn,0.0959448398919753
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-attn,0.0056421618339342955
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-attn,0.08342309725158563
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-attn,0.005189935857599431
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-attn,0.07830024887110017
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-attn,0.004590429235387732
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-attn,0.07679034926470588
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-attn,0.004237589518229166
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-attn,0.0827793421855922
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-attn,0.004825655110677083
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-attn,0.08554915048543689
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-attn,0.005832606336805555
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-attn,0.07571330054012346
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-attn,0.004974277594150641
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-attn,0.06602562323819591
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-attn,0.004720936168323864
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-attn,0.06073983990147784
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-attn,0.0041676387080439815
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-attn,0.0648040594362745
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-attn,0.0039624720982142855
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-attn,0.06659701236263736
NONE,16,930,512,Qwen/Qwen3-8B_prefill-attn,0.004502034505208334
FULL,16,930,512,Qwen/Qwen3-8B_decoding-attn,0.06887157413025889
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-attn,0.005606190321180556
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-attn,0.064624140625
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-attn,0.00481020257411859
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-attn,0.05769266865079365
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-attn,0.004482078269675925
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-attn,0.0541448979120473
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-attn,0.003953179986627252
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-attn,0.055933369252873566
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-attn,0.003836916775173611
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-attn,0.058482484185918594
NONE,16,930,256,Qwen/Qwen3-8B_prefill-attn,0.00419644072561553
FULL,16,930,256,Qwen/Qwen3-8B_decoding-attn,0.061381368267831145
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-mlp,0.017825085110134548
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-mlp,0.18305073784722223
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-mlp,0.017545797983805338
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-mlp,0.15504006105296544
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-mlp,0.015766919453938804
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-mlp,0.1417090197028424
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-mlp,0.01343053944905599
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-mlp,0.13675260761589403
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-mlp,0.012772239685058593
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-mlp,0.14961164023887974
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-mlp,0.013702845255533854
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-mlp,0.15123183891612202
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-mlp,0.01775616200764974
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-mlp,0.1830993967013889
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-mlp,0.017429393513997398
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-mlp,0.15533239672534094
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-mlp,0.015742576599121094
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-mlp,0.14249302671650055
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-mlp,0.013449218749999999
