cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len,target_sm_clock,iteration
NONE,False,16,,2.2852,1,23,,,,,1774931823.5620751,596.146,53,2370,2370,12481,93026.25,97887.0,100,22,1194897440,1774931823557916,0,,0,0,48056022801,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,2,23,,,,,1774931823.6563478,599.561,52,2355,2355,12481,94562.25,97887.0,100,26,1194897440,1774931823651897,0,,0,0,48056080822,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,3,23,,,,,1774931823.760587,600.936,54,2355,2355,12481,94562.25,97887.0,100,26,1194897440,1774931823756985,0,,0,0,48056142883,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,4,23,,,,,1774931823.8690493,606.633,54,2370,2370,12481,94562.25,97887.0,100,26,1194897440,1774931823865851,0,,0,0,48056202883,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,5,23,,,,,1774931823.9724631,605.667,54,2370,2370,12481,94562.25,97887.0,100,26,1194897440,1774931823969585,0,,0,0,48056263627,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,6,23,,,,,1774931824.0762382,603.626,55,2370,2370,12481,94562.25,97887.0,100,25,1194897440,1774931824073138,0,,0,0,48056324307,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,7,23,,,,,1774931824.1804318,610.537,54,2362,2362,12481,94562.25,97887.0,100,25,1194897440,1774931824176766,0,,0,0,48056382759,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,8,23,,,,,1774931824.2849271,610.571,55,2362,2362,12481,94562.25,97887.0,100,22,1194897440,1774931824281996,0,,0,0,48056442230,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,9,23,,,,,1774931824.3899488,608.481,54,2362,2362,12481,94562.25,97887.0,100,20,1194897440,1774931824385548,0,,0,0,48056502805,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,10,23,,,,,1774931824.4933527,611.887,55,2362,2362,12481,94562.25,97887.0,100,20,1194897440,1774931824490480,0,,0,0,48056562879,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,11,23,,,,,1774931824.6003485,607.788,54,2370,2370,12481,94562.25,97887.0,100,18,1194897440,1774931824593926,0,,0,0,48056620875,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,12,23,,,,,1774931824.7116466,606.222,56,2370,2370,12481,94562.25,97887.0,100,18,1194897440,1774931824708042,0,,0,0,48056742569,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,13,23,,,,,1774931824.8150523,599.212,54,2377,2377,12481,94562.25,97887.0,100,22,1194897440,1774931824812181,0,,0,0,48056801430,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,14,23,,,,,1774931824.920268,597.508,54,2377,2377,12481,94562.25,97887.0,100,22,1194897440,1774931824915610,0,,0,0,48056860762,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,15,23,,,,,1774931825.0297177,602.528,55,2377,2377,12481,94562.25,97887.0,100,25,1194897440,1774931825026424,0,,0,0,48056920540,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
NONE,False,16,,2.2852,16,23,,,,,1774931825.1331558,598.324,55,2377,2377,12481,94562.25,97887.0,100,25,1194897440,1774931825130251,0,,0,0,48056982010,,0,Qwen/Qwen3-8B_prefill-attn,seg,1,8192,2430,0
