cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,0,3902135,16,38.2424,1,102.22199634369287,3909.2144729740403,100.0,4.131627056672761
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8192,8713645,208,0.901,13,129.1534375,116.3672471875,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8193,8700006,208,0.901,13,134.62666666666667,121.29862666666666,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8194,120870,208,0.9018,13,134.74917647058825,121.51680734117649,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8195,8714106,208,0.9023,13,134.87877777777777,121.70112118888888,100.0,31.0
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,0,3070426,16,20.5253,1,149.43873310810812,3067.274828663852,100.0,7.530405405405405
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8192,183805,400,1.1163,25,167.1812105263158,186.62438531052632,100.0,48.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8193,183570,400,1.1167,25,167.45178947368422,186.99341330526318,100.0,48.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8194,7504958,400,1.1169,25,167.24877777777778,186.8001599,100.0,48.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8195,7505345,400,1.1172,25,166.8841666666667,186.442991,100.0,47.833333333333336
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,0,10126573,16,14.5693,1,192.7,2807.50411,100.0,10.066666666666666
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,8192,7635239,608,1.5643,38,178.44212500000003,279.13701613750004,100.0,52.0
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,8193,286319,608,1.5646,38,179.39180000000005,280.6764102800001,100.0,52.0
