cudagraph_mode,batch_size,sm_clock,input_len,model_name,latency_sec_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,2.39015
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,0.004334254807692308
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,1.28283125
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,0.0027919375
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,0.91058125
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,0.002573478618421053
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,0.680725
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,0.0022194999999999997
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,0.55100625
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,0.0017979838709677417
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,0.4646125
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,0.001550375
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,0.403575
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,0.0014979346264367816
FULL,16,2422,8192,Qwen/Qwen3-8B_decoding,0.001477671875
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,1.08035625
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,0.003275183823529412
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,0.580275
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,0.0021112215909090907
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,0.413475
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,0.001909375
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,0.0019087372448979589
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,0.3086375
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,0.001649903846153846
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,0.25031875
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,0.0013398726851851853
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,0.2108375
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,0.0011534471649484537
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,0.1834
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,0.001103691924778761
NONE,16,2242,4096,Qwen/Qwen3-8B_prefill,0.1766375
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,0.0010843629807692305
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,0.251925
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,0.0024673828125
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,0.135475
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,0.0015512567934782607
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,0.09704375
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,0.001400252757352941
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,0.07240625
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,0.0012059065934065933
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,0.058493750000000004
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,0.0009804203539823008
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,0.04944166666666667
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,0.0008408680555555556
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,0.0430796875
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,0.0007963972929936306
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,0.0007790104166666667
NONE,16,330,256,Qwen/Qwen3-8B_prefill,0.06455
FULL,16,330,256,Qwen/Qwen3-8B_decoding,0.0022484953703703703
NONE,16,630,256,Qwen/Qwen3-8B_prefill,0.03453333333333333
FULL,16,630,256,Qwen/Qwen3-8B_decoding,0.0014246629901960785
FULL,16,930,256,Qwen/Qwen3-8B_decoding,0.0012849917763157893
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,0.01834375
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,0.001103125
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,0.014808928571428572
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,0.0008969499999999999
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,0.012497916666666668
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,0.0007661979166666667
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,0.010856250000000001
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,0.0007220892857142858
NONE,16,2295,256,Qwen/Qwen3-8B_prefill,0.010181770833333334
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,0.0007043046875000001
