cudagraph_mode,batch_size,sm_clock,input_len,model_name,memory_util_pct
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,4.131627056672761
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,31.0
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,7.530405405405405
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,47.958333333333336
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,10.066666666666666
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,52.0
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,13.968152866242038
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,60.0
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,16.651162790697676
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,74.0
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,17.53211009174312
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,85.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,22.572916666666668
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,88.0
FULL,16,2422,8192,Qwen/Qwen3-8B_decoding,89.0
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,4.473895582329317
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,29.0
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,8.355555555555556
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,45.486111111111114
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,11.26530612244898
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,49.0
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,49.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,15.04109589041096
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,57.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,18.344827586206897
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,70.0
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,21.294117647058822
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,81.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,24.68888888888889
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,85.0
NONE,16,2242,4096,Qwen/Qwen3-8B_prefill,25.62962962962963
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,86.0
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,5.229508196721311
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,27.0
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,9.352941176470589
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,42.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,12.961538461538462
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,47.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,17.11111111111111
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,54.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,21.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,67.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,24.756756756756758
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,78.0
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,28.204545454545453
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,82.0
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,83.0
NONE,16,330,256,Qwen/Qwen3-8B_prefill,4.277777777777778
FULL,16,330,256,Qwen/Qwen3-8B_decoding,26.0
NONE,16,630,256,Qwen/Qwen3-8B_prefill,8.0
FULL,16,630,256,Qwen/Qwen3-8B_decoding,41.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding,45.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,14.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,53.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,17.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,65.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,20.1
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,76.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,23.074074074074073
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,80.0
NONE,16,2295,256,Qwen/Qwen3-8B_prefill,25.0
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,82.0
