cudagraph_mode,batch_size,sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,102.22199634369287
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,133.35201460375816
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,149.43873310810812
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,167.19148611111112
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,192.7
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,179.13745240384617
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,260.50485350318473
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,204.34558928571428
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,306.78006201550386
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,254.04742241379304
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,417.12573394495405
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,282.0595666666667
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,532.0942083333333
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,314.81979545454544
FULL,16,2422,8192,Qwen/Qwen3-8B_decoding,379.46071527777775
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,105.090562248996
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,127.48953715277779
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,152.15653333333333
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,161.37782222222222
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,195.1536530612245
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,173.9789880952381
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,174.57834595959596
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,263.35152054794526
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,198.42530555555555
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,319.61293103448276
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,245.7519166666667
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,421.5876274509804
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,285.1977850985222
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,536.0369555555554
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,305.44192106549366
NONE,16,2242,4096,Qwen/Qwen3-8B_prefill,599.9244074074073
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,369.17713888888886
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,108.8018524590164
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,122.00648039215686
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,155.84614705882353
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,154.98746118421053
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,199.22250000000003
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,168.81255208333334
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,266.3037777777778
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,193.16179629629627
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,346.150511627907
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,237.07593234583106
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,424.47318918918916
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,280.08142499999997
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,536.9590227272727
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,296.8380984848485
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,358.93911805555564
NONE,16,330,256,Qwen/Qwen3-8B_prefill,102.38661111111111
FULL,16,330,256,Qwen/Qwen3-8B_decoding,120.10458333333334
NONE,16,630,256,Qwen/Qwen3-8B_prefill,145.7729259259259
FULL,16,630,256,Qwen/Qwen3-8B_decoding,151.00188511904759
FULL,16,930,256,Qwen/Qwen3-8B_decoding,165.79709722222222
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,247.45186666666666
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,190.23682195767196
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,342.3204444444444
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,232.43586666666667
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,395.37766666666664
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,274.28456666666665
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,502.8877037037038
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,312.91639393939397
NONE,16,2295,256,Qwen/Qwen3-8B_prefill,599.2866428571431
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,351.7230277777778
