cudagraph_mode,batch_size,sm_clock,input_len,model_name,power_based_j_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,244.32590456087752
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,0.577985339404125
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,191.70467679149075
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,0.4667880934473685
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,175.469006875
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,0.46100651637707174
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,177.33216640095543
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,0.4535450266707589
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,169.03773154593023
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,0.4567731466389986
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,193.80183006249996
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,0.4372982371743056
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,214.739920128125
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,0.47157935673382534
FULL,16,2422,8192,Qwen/Qwen3-8B_decoding,0.5607183953927951
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,113.53524574171686
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,0.417551338076874
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,88.29263238
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,0.34066767387994534
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,80.6911566994898
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,0.33219106231171047
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,0.3332242108479566
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,81.28015492311646
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,0.3273826977065527
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,80.00510938038792
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,0.329276284677212
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,88.88648140269608
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,0.3289606160369506
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,98.30917764888888
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,0.33711377847658075
NONE,16,2242,4096,Qwen/Qwen3-8B_prefill,105.96914751342591
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,0.40032201915798604
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,27.40990668073771
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,0.3010366108870762
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,21.11325677279412
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,0.24042722257839313
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,19.333298484375003
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,0.23638024107977174
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,19.282057909722223
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,0.23293508410917785
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,20.247641489534885
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,0.23243406192857394
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,20.986661928828827
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,0.2355115279131944
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,23.132026899396305
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,0.23640100975439107
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,0.27961727286361887
NONE,16,330,256,Qwen/Qwen3-8B_prefill,6.6090557472222216
FULL,16,330,256,Qwen/Qwen3-8B_decoding,0.2700541388695988
NONE,16,630,256,Qwen/Qwen3-8B_prefill,5.034025041975307
FULL,16,630,256,Qwen/Qwen3-8B_decoding,0.21512913780338178
FULL,16,930,256,Qwen/Qwen3-8B_decoding,0.2130478945523803
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,4.539195179166666
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,0.20985496347940893
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,5.0693990103174595
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,0.20848335654875
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,4.9413971298611115
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,0.21015627050972222
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,5.459474633333334
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,0.2259526123606602
NONE,16,2295,256,Qwen/Qwen3-8B_prefill,6.101799261049109
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,0.24772017653841147
