cudagraph_mode,batch_size,sm_clock,input_len,model_name,throughput_tokens_per_sec
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,0.4183837834445536
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,230.7201686032001
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,0.7795257560181824
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,358.17420697991986
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,1.0981996389668687
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,388.57909789572915
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,1.469021998604429
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,450.55192610948416
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,1.8148614466714306
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,556.1785153621889
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,2.1523312437784177
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,645.0052406675804
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,2.477854178281608
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,667.585876146514
FULL,16,2422,8192,Qwen/Qwen3-8B_decoding,676.7402269194573
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,0.925620599686446
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,305.32637368805075
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,1.7233208392572488
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,473.6594227275786
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,2.4185259084587947
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,523.7315875613748
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,523.9065789034048
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,3.2400469806812198
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,606.0959263360336
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,3.99490649421987
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,746.3395672267093
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,4.742989268986778
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,866.9664553249727
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,5.452562704471101
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,906.0499379846905
NONE,16,2242,4096,Qwen/Qwen3-8B_prefill,5.661312009058099
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,922.2004234141369
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,3.969435347821772
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,405.28773846275624
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,7.381435689241557
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,644.6385951082792
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,10.304630643395376
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,714.1567797305503
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,13.810962451445834
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,829.2516231917076
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,17.095843573031306
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,1019.9706645605327
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,20.225855385133997
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,1189.2472230251476
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,23.212796053824672
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,1255.6546949588862
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,1283.679882329344
NONE,16,330,256,Qwen/Qwen3-8B_prefill,15.49186676994578
FULL,16,330,256,Qwen/Qwen3-8B_decoding,444.74185412055385
NONE,16,630,256,Qwen/Qwen3-8B_prefill,28.957528957528957
FULL,16,630,256,Qwen/Qwen3-8B_decoding,701.9203888088427
FULL,16,930,256,Qwen/Qwen3-8B_decoding,778.2150971168924
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,54.5144804088586
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,906.5155807365439
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,67.52682985650549
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,1114.8893472322873
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,80.01333555592598
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,1305.145809258378
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,92.11283822682785
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,1384.8702920592525
NONE,16,2295,256,Qwen/Qwen3-8B_prefill,98.21474244206864
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,1419.8400461448014
