cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,102.03687530071335
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,7278.951498849172
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,149.59225930924273
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,3442.4297642765996
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,695.0624257857276
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,1354.3191078019397
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,259.18845715964596
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,203.67425095742286
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,1247.7000034028651
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,255.31242991702177
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,413.1943286071726
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,293.63971082265044
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,526.9590534597038
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,312.04616030214015
FULL,16,2422,8192,Qwen/Qwen3-8B_decoding,5866.436222520646
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,355.4326987047097
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,4970.615704102824
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,568.0329369695404
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,2760.8450514700935
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,194.07521615575308
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,174.07461839072784
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,2912.0598750375893
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,260.62796160544326
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,3522.345853487966
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,1583.5110234451076
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,3145.4148490476396
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,2149.356139206735
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,286.5508476943273
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,2782.139449291167
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,1134.0938874202884
NONE,16,2242,4096,Qwen/Qwen3-8B_prefill,604.9440945439105
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,370.10696194814847
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,109.09422447156892
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,1344.0874429404469
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,151.60177154456542
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,516.2293897392105
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,205.147163006376
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,1477.1635569996226
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,1436.2291756581785
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,1747.0648707142047
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,1621.9845425081028
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,1728.0929143630826
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,426.66736895331195
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,280.44156308928984
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,2459.91694171412
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,295.67568918547397
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,357.9406520915514
NONE,16,330,256,Qwen/Qwen3-8B_prefill,934.8450813323007
FULL,16,330,256,Qwen/Qwen3-8B_decoding,790.6609358109847
NONE,16,630,256,Qwen/Qwen3-8B_prefill,911.7145270270271
FULL,16,630,256,Qwen/Qwen3-8B_decoding,151.78641319541515
FULL,16,930,256,Qwen/Qwen3-8B_decoding,993.4320501743946
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,238.3520726859739
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,847.1620901466919
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,2081.331243217171
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,232.57330397458057
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,394.31405234205704
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,268.00856501937324
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,3059.4225676453652
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,319.26577144694215
NONE,16,2295,256,Qwen/Qwen3-8B_prefill,3456.902654867257
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,1598.9187030648577
