cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,243.8834375
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,31.548830528846153
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,191.901625
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,9.61104875
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,632.9108125
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,3.4853112664473684
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,176.4360625
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,0.452055
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,687.4905
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,0.4590476310483871
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,191.97525
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,0.45525166666666667
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,212.6675
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,0.4674247485632184
FULL,16,2422,8192,Qwen/Qwen3-8B_decoding,8.6686678125
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,383.9939375
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,16.279680147058826
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,329.6153125
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,5.828755681818182
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,80.24525
FULL,16,922,4096,Qwen/Qwen3-8B_decoding,0.33237372448979596
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,5.558357142857143
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,80.4395625
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,5.811531971153847
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,396.3825
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,4.214455439814815
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,453.164875
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,0.33052126288659794
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,510.244375
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,1.2516902654867257
NONE,16,2242,4096,Qwen/Qwen3-8B_prefill,106.8558125
FULL,16,2422,4096,Qwen/Qwen3-8B_decoding,0.4013302884615385
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,27.4835625
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,3.3163782552083334
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,20.53825
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,0.800804347826087
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,19.90825
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,2.06840234375
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,103.99196875
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,2.106797046703297
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,94.87595833333334
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,1.6942574668141595
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,21.095145833333333
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,0.23581435185185184
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,105.972453125
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,0.2354753184713376
FULL,16,2422,1024,Qwen/Qwen3-8B_decoding,0.2788394965277778
NONE,16,330,256,Qwen/Qwen3-8B_prefill,60.34425
FULL,16,330,256,Qwen/Qwen3-8B_decoding,1.7777974537037038
NONE,16,630,256,Qwen/Qwen3-8B_prefill,31.48454166666667
FULL,16,630,256,Qwen/Qwen3-8B_decoding,0.21624448529411766
FULL,16,930,256,Qwen/Qwen3-8B_decoding,1.2765520148026317
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,4.372270833333333
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,0.9345256806930694
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,30.822285714285716
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,0.20860662500000002
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,4.928104166666667
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,0.20534760416666667
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,33.21385625
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,0.23053839285714287
NONE,16,2295,256,Qwen/Qwen3-8B_prefill,35.197390625000004
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,1.1261259375000001
