cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,0,330,3914039,16,38.2538,1,102.37568131868134,3916.2588380285724,100.0,2.620879120879121
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,0,330,3908388,16,38.2415,1,102.21561538461539,3908.8784557307695,100.0,2.587912087912088
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,0,330,3907922,16,38.2484,1,102.19053296703296,3908.6243811362633,100.0,2.587912087912088
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8192,330,242782,416,1.8019,26,135.27999999999997,243.76103199999997,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8192,330,242610,416,1.8001,26,134.7914,242.63799914000003,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8192,330,242372,416,1.8024,26,135.2899,243.84651576,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8193,330,243385,416,1.8014,26,135.0967,243.36319537999998,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8193,330,242765,416,1.8005,26,134.78660000000002,242.68327330000002,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8193,330,242736,416,1.802,26,135.0266,243.3179332,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8194,330,243233,416,1.8013,26,135.52050000000003,244.11307665000004,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8194,330,242983,416,1.8011,26,135.1511,243.42064621,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8194,330,242625,416,1.8035,26,135.17559999999997,243.78919459999997,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8195,330,256879,416,1.8014,26,135.2419,243.62475865999997,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8195,330,256489,416,1.8027,26,134.5263,242.51056100999998,100.0,31.0
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,8195,330,242604,416,1.8038,26,135.16,243.80160800000002,100.0,31.0
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,0,630,3055859,16,20.5267,1,149.57376530612245,3070.255808309184,100.0,3.806122448979592
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,0,630,3078336,16,20.5266,1,149.61712121212122,3071.1308002727274,100.0,4.2727272727272725
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,0,630,3062425,16,20.5274,1,149.47060204081632,3068.242836332653,100.0,4.224489795918367
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8192,630,368437,800,2.2326,50,167.6165,374.22059790000003,100.0,47.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8192,630,385838,800,2.2322,50,167.81700000000004,374.6011074000001,100.0,47.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8192,630,369201,800,2.2328,50,168.23666666666668,375.6388293333334,100.0,47.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8193,630,368828,800,2.2335,50,168.028,375.29053799999997,100.0,47.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8193,630,369304,800,2.2317,50,168.3730909090909,375.75822698181815,100.0,47.0
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,8193,630,385890,800,2.2323,50,168.13875,375.33613162499995,100.0,47.0
