cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,latency_sec_per_token
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,2.3904937499999996
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,0.004331350160256411
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,1.28293125
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,0.0027908854166666668
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,0.9107979166666667
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,0.0025729098135964914
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,0.6807333333333333
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,0.002219479166666667
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,0.5508333333333333
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,0.0017980006720430106
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,0.46444166666666664
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,0.0015504027777777782
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,0.4035645833333334
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,0.0014979525862068965
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill,0.3883729166666667
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding,0.00147765625
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,1.0796395833333332
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,0.0032739736519607847
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,0.5802625
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,0.002080295138888889
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,0.41261875000000003
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,0.0019089498299319726
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,0.30863958333333336
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,0.0016515625000000003
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,0.2500229166666667
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,0.0013395897633744856
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,0.21084375
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,0.0011532270189003435
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,0.1834083333333333
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,0.0011039869100294985
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,0.17711875
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,0.0010843910256410256
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,0.25184791666666667
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,0.0024649522569444443
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,0.13547708333333333
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,0.0015514549365942029
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,0.09705416666666666
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,0.0014004365808823532
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,0.07240416666666667
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,0.0012060096153846155
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,0.05850972222222222
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,0.0009804848820058995
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,0.04944513888888889
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,0.0008406905864197531
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,0.0430796875
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,0.0007962745488322718
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill,0.041527916666666664
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding,0.0007788686342592593
NONE,16,330,256,Qwen/Qwen3-8B_prefill,0.06453958333333333
FULL,16,330,256,Qwen/Qwen3-8B_decoding,0.0022425829475308644
NONE,16,630,256,Qwen/Qwen3-8B_prefill,0.03454375
FULL,16,630,256,Qwen/Qwen3-8B_decoding,0.0014244587418300652
NONE,16,930,256,Qwen/Qwen3-8B_prefill,0.024583333333333332
FULL,16,930,256,Qwen/Qwen3-8B_decoding,0.001285228207236842
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,0.018345833333333332
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,0.0011033003300330033
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,0.014804464285714284
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,0.0008968791666666666
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,0.012494675925925925
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,0.0007651874999999999
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,0.010853749999999999
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,0.0007220654761904763
NONE,16,2430,256,Qwen/Qwen3-8B_prefill,0.010184895833333332
FULL,16,2430,256,Qwen/Qwen3-8B_decoding,0.0007040963541666667
