cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,16,330,8192,Qwen/Qwen3-8B_prefill,102.23087629211888
FULL,16,330,8192,Qwen/Qwen3-8B_decoding,136.03965387265805
NONE,16,630,8192,Qwen/Qwen3-8B_prefill,149.3425699935207
FULL,16,630,8192,Qwen/Qwen3-8B_decoding,168.44430344312772
NONE,16,930,8192,Qwen/Qwen3-8B_prefill,190.88079820121095
FULL,16,930,8192,Qwen/Qwen3-8B_decoding,181.90795308958312
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill,259.751340466164
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding,204.99324165767118
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill,307.0810514372164
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding,254.42639954399772
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill,416.676026770495
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding,283.0327692624676
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill,534.811394293561
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding,315.61730171290634
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill,598.986852198542
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding,377.000599203412
NONE,16,330,4096,Qwen/Qwen3-8B_prefill,104.58588610782533
FULL,16,330,4096,Qwen/Qwen3-8B_decoding,131.8406363317347
NONE,16,630,4096,Qwen/Qwen3-8B_prefill,152.3915182065588
FULL,16,630,4096,Qwen/Qwen3-8B_decoding,163.36107581131574
NONE,16,930,4096,Qwen/Qwen3-8B_prefill,195.21450895449289
FULL,16,930,4096,Qwen/Qwen3-8B_decoding,174.81669766250545
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill,267.1029450478241
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding,201.94517623656694
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill,322.19763188374395
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding,245.07816812506903
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill,419.6766958154241
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding,286.05348803642846
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill,536.25664500886
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding,305.70142075225135
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill,599.0473669971889
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding,370.49160582862885
NONE,16,330,1024,Qwen/Qwen3-8B_prefill,108.73940125902703
FULL,16,330,1024,Qwen/Qwen3-8B_decoding,124.4677994453493
NONE,16,630,1024,Qwen/Qwen3-8B_prefill,153.65683002967907
FULL,16,630,1024,Qwen/Qwen3-8B_decoding,156.34328167590468
NONE,16,930,1024,Qwen/Qwen3-8B_prefill,191.85549306658655
FULL,16,930,1024,Qwen/Qwen3-8B_decoding,168.66515168917255
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill,267.3695114231455
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding,194.19725314881782
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill,352.3494433498706
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding,240.19574476086612
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill,428.0685664527183
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding,280.83324537532064
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill,525.7565316213895
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding,303.51003420420034
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill,608.0748893816409
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding,359.0250281413345
NONE,16,330,256,Qwen/Qwen3-8B_prefill,98.49736918557733
FULL,16,330,256,Qwen/Qwen3-8B_decoding,123.85891420190873
NONE,16,630,256,Qwen/Qwen3-8B_prefill,145.80262549504454
FULL,16,630,256,Qwen/Qwen3-8B_decoding,153.30495472566548
NONE,16,930,256,Qwen/Qwen3-8B_prefill,188.8728813559322
FULL,16,930,256,Qwen/Qwen3-8B_decoding,165.76926050639727
NONE,16,1230,256,Qwen/Qwen3-8B_prefill,238.0202891967598
FULL,16,1230,256,Qwen/Qwen3-8B_decoding,190.5139470535447
NONE,16,1530,256,Qwen/Qwen3-8B_prefill,351.1312144422331
FULL,16,1530,256,Qwen/Qwen3-8B_decoding,231.5199929384765
NONE,16,1830,256,Qwen/Qwen3-8B_prefill,395.09661522500323
FULL,16,1830,256,Qwen/Qwen3-8B_decoding,269.0721228457078
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,510.54954124918424
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,314.55373556348763
NONE,16,2430,256,Qwen/Qwen3-8B_prefill,593.429131509418
FULL,16,2430,256,Qwen/Qwen3-8B_decoding,350.2936683766501
