cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-all,28.333333333333332
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-all,28.416666666666668
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-all,32.64897272040129
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-all,32.0
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,36.48095238095238
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,34.0
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,41.992259313014024
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,37.358333333333334
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,46.12403100775194
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,41.43333333333333
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,54.533533533533536
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,45.949999999999996
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,62.90625
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,50.99242424242424
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,67.64516129032258
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,56.451388888888886
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-all,32.10843373493976
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-all,30.0
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-all,33.266666666666666
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-all,32.159090909090914
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,36.69854797979798
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,34.0
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,41.29944444444445
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,36.9537037037037
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,45.06666666666666
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,40.601851851851855
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,52.11764705882353
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,44.35
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,59.17777777777778
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,48.2469696969697
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,65.07799671592774
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,54.65277777777778
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-all,37.0
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-all,32.766666666666666
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-all,34.0
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-all,32.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,35.550925925925924
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,33.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,39.13888888888889
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,35.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,44.02222222222222
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,39.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,49.65811965811966
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,43.083333333333336
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,56.993650793650794
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,46.44318181818182
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,62.1764705882353
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,52.09027777777777
NONE,16,330,256,Qwen/Qwen3-8B_prefill-all,38.333333333333336
FULL,16,330,256,Qwen/Qwen3-8B_decoding-all,34.25
NONE,16,630,256,Qwen/Qwen3-8B_prefill-all,34.0
FULL,16,630,256,Qwen/Qwen3-8B_decoding-all,32.28472222222222
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,35.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,33.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,37.74074074074074
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,34.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,42.88888888888889
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,37.483333333333334
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,47.03333333333333
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,41.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,53.43333333333334
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,45.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,59.945454545454545
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,49.333333333333336
