cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-all,102.18349633699636
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-all,134.93606666666668
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-all,149.2154290180719
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-all,168.05141982323235
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,192.14802857142857
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,179.5299138888889
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,257.21226596516686
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,204.50794537037038
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,306.9349224806202
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,254.1443148148148
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,417.7919992492493
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,278.443325
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,536.0224479166667
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,316.00638636363635
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,600.505752688172
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,380.7738125
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-all,105.05982730923695
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-all,130.22853611111108
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-all,152.3403037037037
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-all,163.50044507575754
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,195.43006218434346
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,175.06468333333336
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,264.3554183333333
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,199.11285185185184
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,316.2486333333333
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,246.54818148148146
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,421.80184313725493
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,275.60190925925923
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,538.8791555555555
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,306.4956272727273
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,598.4676321839081
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,371.03512500000005
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-all,109.00166666666667
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-all,124.47402499999998
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-all,156.36093181818183
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-all,156.1965138888889
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,198.2137175925926
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,168.9563888888889
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,266.6917222222222
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,192.99410185185184
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,345.39895555555546
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,237.49362499999998
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,424.9007927350428
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,280.66975
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,537.1931238095239
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,297.58873257575755
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,601.7176666666666
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,359.7631041666666
NONE,16,330,256,Qwen/Qwen3-8B_prefill-all,103.06255555555555
FULL,16,330,256,Qwen/Qwen3-8B_decoding-all,122.31649318181819
NONE,16,630,256,Qwen/Qwen3-8B_prefill-all,145.39544444444445
FULL,16,630,256,Qwen/Qwen3-8B_decoding-all,153.11411805555554
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,185.89896296296297
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,165.74578541666665
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,247.2987666666667
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,190.1129185185185
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,342.9102222222222
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,232.47877592592593
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,395.25786666666664
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,274.7303166666667
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,501.82169629629624
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,309.39219696969695
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,600.5806272727273
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,352.27725694444445
