sm_clock,phase,a,b,c,r2,n
330,decoding,0.5531669383566689,2.572267424242427,0.00553166938356665,0.9921573918063058,48
330,prefill,0.8308814288775489,4.481408147285116,0.00830881428877537,0.7185549014192527,12
630,decoding,0.6933666991655365,2.0536049859279824,0.00693366699165533,0.9944450599773152,48
630,prefill,1.082368060178722,5.114418421723896,0.010823680601787039,0.6571885686487262,12
930,decoding,0.7582655973103041,1.9906827231828295,0.0075826559731030285,0.9962545869096654,48
930,prefill,1.5992637962877156,2.8812749201665873,0.01599263796287705,0.40997482000713625,12
1230,decoding,0.8314731472840348,2.027255802469142,0.00831473147284033,0.9934118649204547,48
1230,prefill,1.9297462694215404,4.3556343452631365,0.019297462694215298,0.5812980992836767,12
1530,decoding,0.7410771075670219,2.442769605475039,0.007410771075670199,0.988434320802719,48
1530,prefill,2.236445959962745,5.663520867701471,0.022364459599627386,0.26996801882520394,12
1830,decoding,2.6435210351847314,0.16202978440035537,0.02643521035184734,0.025663016356553103,48
1830,prefill,3.6415101399920653,2.366796292225814,0.036415101399920664,0.21020813465068744,12
2130,decoding,2.044673326678879,1.228453210678209,0.020446733266788794,0.3097908014505353,48
2130,prefill,4.513979873818864,3.0870834887039362,0.04513979873818861,0.19746687427370102,12
2228,prefill,5.614157215430235,1.4500012946059464,0.05614157215430234,,1
2232,prefill,5.603524485352288,1.4529138487020572,0.05603524485352288,,1
2234,prefill,5.697479051508516,1.3379886288703866,0.056974790515085146,,1
2236,prefill,5.698394985514072,1.327174574045535,0.0569839498551407,,1
2237,prefill,5.55442687558296,1.6369222733335667,0.0555442687558296,,1
2238,prefill,5.5234000681682796,1.6212803729505716,0.0552340006816828,,1
2239,prefill,5.606523292693712,1.4536913966055836,0.05606523292693712,,1
2247,prefill,5.531407001193076,1.633391949764073,0.055314070011930755,,1
2248,prefill,5.664485615947745,1.366785561525456,0.05664485615947745,,1
2291,prefill,5.656279622880414,1.4140699057201036,0.05656279622880415,,1
2294,prefill,5.646827678250605,1.411706919562651,0.05646827678250605,,1
2295,prefill,5.652867494824017,1.4132168737060042,0.056528674948240175,,1
2422,decoding,0.22055604544909588,4.022275023946358,0.0022055604544909293,0.9777780746499292,48
