cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
NONE,16,330,8192,Qwen/Qwen3-8B_prefill-all,3426.7846529519516
FULL,16,330,8192,Qwen/Qwen3-8B_decoding-all,230.91333811319012
NONE,16,630,8192,Qwen/Qwen3-8B_prefill-all,6385.968331303289
FULL,16,630,8192,Qwen/Qwen3-8B_decoding-all,357.9565157407649
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,9000.034332406358
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,388.69916836704795
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,12033.712610401455
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,450.7063413443256
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,14870.09991150911
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,556.4593033039771
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,17637.670953301546
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,645.1641808431042
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,20300.048528151492
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,667.6979530165125
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,21075.379470028296
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,676.63052097026
NONE,16,330,4096,Qwen/Qwen3-8B_prefill-all,3794.3199450367065
FULL,16,330,4096,Qwen/Qwen3-8B_decoding-all,305.33351418856023
NONE,16,630,4096,Qwen/Qwen3-8B_prefill-all,7058.823529411764
FULL,16,630,4096,Qwen/Qwen3-8B_decoding-all,482.02303607565085
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,9918.726257321448
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,523.8380266985899
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,13271.769947347106
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,605.5136677243748
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,16383.044322414524
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,746.5115274397706
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,19425.556510655955
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,867.19655803428
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,22333.443140640444
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,905.8456605333369
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,23112.27098799175
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,922.2413124203291
NONE,16,330,1024,Qwen/Qwen3-8B_prefill-all,4069.8849051916864
FULL,16,330,1024,Qwen/Qwen3-8B_decoding-all,406.1325307045183
NONE,16,630,1024,Qwen/Qwen3-8B_prefill-all,7559.98523440384
FULL,16,630,1024,Qwen/Qwen3-8B_decoding-all,644.281201899579
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,10541.983914209113
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,713.8619680960127
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,14145.47809194906
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,829.0037436123723
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,17502.195845697326
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,1019.524917177698
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,20713.60341630612
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,1189.3454470369604
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,23768.179015703772
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,1256.2931350648487
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,24654.153667124785
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,1284.3620741555576
NONE,16,330,256,Qwen/Qwen3-8B_prefill-all,3965.6619118311496
FULL,16,330,256,Qwen/Qwen3-8B_decoding-all,444.86780114821204
NONE,16,630,256,Qwen/Qwen3-8B_prefill-all,7410.891984801882
FULL,16,630,256,Qwen/Qwen3-8B_decoding-all,701.9883217016336
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,10402.759846769244
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,778.0097091260989
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,13955.706984667802
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,906.3630500014021
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,17290.34333038514
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1114.961859013073
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,20489.10626945309
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1304.726007538417
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,23584.959981574248
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,1385.0643890052268
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,25168.293848569672
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,1420.4808179602046
