cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len,target_sm_clock,iteration
NONE,False,16,,38.2501,1,364,,,,,1774433574.450125,103.306,30,330,330,12481,97394.25,97887.0,100,9,1194897440,1774433574444572,0,,0,0,27335029959,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,2,364,,,,,1774433574.5084493,103.306,30,330,330,12481,97394.25,97887.0,100,9,1194897440,1774433574501317,0,,0,0,27335040386,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,3,364,,,,,1774433574.6138072,103.475,30,330,330,12481,97394.25,97887.0,91,7,1194897440,1774433574609271,0,,0,0,27335050792,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,4,364,,,,,1774433574.7187724,103.264,30,330,330,12481,97394.25,97887.0,100,2,1194897440,1774433574714679,0,,0,0,27335059614,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,5,364,,,,,1774433574.8251393,100.128,30,330,330,12481,97394.25,97887.0,100,2,1194897440,1774433574819712,0,,0,0,27335068347,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,6,364,,,,,1774433574.9302278,100.283,30,330,330,12481,97394.25,97887.0,100,6,1194897440,1774433574926017,0,,0,0,27335078784,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,7,364,,,,,1774433575.0352974,100.234,30,330,330,12481,97394.25,97887.0,100,6,1194897440,1774433575031102,0,,0,0,27335089285,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,8,364,,,,,1774433575.1447756,100.186,30,330,330,12481,97394.25,97887.0,100,4,1194897440,1774433575136184,0,,0,0,27335099758,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,9,364,,,,,1774433575.2498379,100.138,30,330,330,12481,97394.25,97887.0,100,4,1194897440,1774433575245626,0,,0,0,27335110249,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,10,364,,,,,1774433575.354901,100.551,30,330,330,12481,97394.25,97887.0,100,7,1194897440,1774433575350706,0,,0,0,27335120740,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,11,364,,,,,1774433575.4600878,100.196,30,330,330,12481,97394.25,97887.0,100,7,1194897440,1774433575455764,0,,0,0,27335131701,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,12,364,,,,,1774433575.565337,99.945,30,330,330,12481,97394.25,97887.0,100,3,1194897440,1774433575560957,0,,0,0,27335141969,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,13,364,,,,,1774433575.6703298,100.463,30,330,330,12481,97394.25,97887.0,100,3,1194897440,1774433575666194,0,,0,0,27335152904,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
NONE,False,16,,38.2501,14,364,,,,,1774433575.7753365,99.848,30,330,330,12481,97394.25,97887.0,100,5,1194897440,1774433575771187,0,,0,0,27335162686,,0,Qwen/Qwen3-8B_prefill-all,seg,1,8192,330,0
