cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,memory_util_pct
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,10.357142857142856
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,52.0
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,13.854862119013063
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,60.0
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,16.73643410852713
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,74.0
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,20.722222222222225
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,85.0
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,22.645833333333332
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,88.0
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,23.849462365591396
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,89.0
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,11.286931818181818
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,49.90555555555556
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,15.151666666666666
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,57.0
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,18.4
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,70.0
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,21.372549019607845
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,81.0
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,24.866666666666664
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,85.0
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,25.789819376026273
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,87.0
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,12.041666666666666
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,49.0
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,15.666666666666666
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,56.0
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,19.833333333333332
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,68.0
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,23.128676470588232
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,79.0
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,26.72698412698413
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,83.7
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,27.33968253968254
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,85.0
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,12.916666666666666
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,47.0
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,17.194444444444443
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,54.0
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,21.0
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,67.0
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,24.893162393162395
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,78.0
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,28.547619047619047
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,82.0
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,29.529411764705884
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,84.0
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,13.0
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,46.166666666666664
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,17.095238095238095
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,53.0
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,21.0
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,65.94444444444444
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,25.0
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,76.24074074074072
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,28.916666666666668
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,81.0
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,29.925925925925924
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,83.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,11.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,46.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,14.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,53.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,17.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,65.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,20.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,76.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,23.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,80.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,25.0
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,82.0
