cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,0.021372967854781377
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,0.46230052379111836
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,0.021344752651884156
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,0.4541001722579862
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,0.020582220299737025
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,0.4563754584555145
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,0.023694127363939638
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,0.43857768522222224
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0.026417262662776313
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,0.4731418071088036
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0.02844698563269339
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,0.5618654843016494
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,0.019943328228002124
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,0.3335635522176162
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,0.019871829111511228
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,0.32847503830573366
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,0.019558433235193892
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,0.32958872461805566
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,0.02163459084589341
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,0.3247738259242555
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,0.024101466423611117
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,0.3380649200949484
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,0.02592364848768269
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,0.40207352686732106
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,0.019216323875554404
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,0.2684508063142883
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,0.01911282673933241
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,0.26432201504774305
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,0.01925530122375488
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,0.26428295972468474
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,0.020821042342687123
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,0.266089918755167
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,0.02306095578782823
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,0.27013210642056296
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,0.024814454996609156
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,0.3201486934381313
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,0.019187800987045853
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,0.23729441429738563
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,0.018942092284478077
