cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,0.02806890614827474
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,0.5475499479166667
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,0.02659850565592448
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,0.4673717672413793
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,0.02404560089111328
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,0.4255963194444445
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,0.02077239227294922
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,0.42122370631720435
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,0.01972291056315104
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,0.4385173958333333
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,0.021464724222819007
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,0.454953399122807
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,0.025476725260416666
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,0.3927775641025641
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,0.024295069376627603
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,0.3341208056784661
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,0.02218860880533854
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,0.30594635953608246
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,0.018921559651692708
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,0.30368055555555556
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,0.01837055460611979
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,0.324383733974359
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,0.01994379679361979
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,0.32732265093537416
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,0.024215067545572917
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,0.3112800347222222
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,0.023210647583007813
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,0.27270125636132314
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,0.020967488606770834
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,0.24887658110119046
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,0.01747339884440104
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,0.23840070921985815
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,0.0174896240234375
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,0.2631520138888889
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,0.01893714396158854
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,0.2655045230263158
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,0.023926224772135418
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,0.2731133680555556
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,0.022576446533203124
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,0.23361829883227175
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,0.020630913628472223
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,0.21350270061728394
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,0.01799407958984375
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,0.2118840800147493
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,0.017245137532552083
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,0.22830694826007325
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,0.018521891276041667
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,0.2336603094362745
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,0.023419197591145836
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,0.2535980902777778
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,0.021767130533854165
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,0.21546904856687898
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,0.01962360297309028
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,0.19856261574074074
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,0.016620090060763888
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,0.20639403576696166
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,0.01685595703125
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,0.21640785256410255
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,0.01793977864583333
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,0.21891544117647058
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0.02318027072482639
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,0.24159124999999998
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,0.021627864583333333
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,0.20854806547619048
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,0.01930349392361111
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,0.19147003472222224
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,0.016172863188244048
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,0.200506625
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,0.01615475802951389
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,0.20531605816831683
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,0.017355977376302085
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,0.21028765762061402
