cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,latency_sec_per_token
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,4.720916748046875e-05
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,0.0014778645833333332
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,4.925409952799479e-05
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,0.001497784961685824
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,5.670394897460938e-05
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,0.0015495972222222222
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,6.722488403320312e-05
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,0.0017978074596774196
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,8.247146606445312e-05
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,0.0022149375
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,0.00011105550130208334
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,0.0025414405153508773
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,4.3049621582031256e-05
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,0.0010839503205128205
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,4.47662353515625e-05
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,0.0011036550516224188
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,5.144297281901042e-05
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,0.0011522283075601377
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,6.098276774088542e-05
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,0.0013392039609053494
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,7.4749755859375e-05
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,0.0016474038461538462
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,0.00010065104166666668
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,0.0018850818452380955
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,4.089728461371528e-05
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,0.0008773159722222223
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,4.253794352213542e-05
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,0.0008950103371501273
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,4.889322916666667e-05
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,0.0009412899925595236
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,5.790303548177083e-05
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,0.0010949468085106383
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,7.086079915364583e-05
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,0.0013470972222222222
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,9.611104329427084e-05
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,0.0015426215277777777
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,4.0358886718749996e-05
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,0.0007782609953703705
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,4.206695556640625e-05
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,0.0007959892515923566
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,4.825507269965278e-05
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,0.0008401697530864196
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,5.7094997829861116e-05
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,0.0009793003318584073
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,6.99676513671875e-05
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,0.0012044528388278387
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,9.461059570312499e-05
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,0.0013840379901960784
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,3.9775390625e-05
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,0.0007274942129629629
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,4.181009928385417e-05
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,0.0007451897558386412
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,4.798041449652778e-05
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,0.0007896450617283951
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,5.6787109375e-05
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,0.0009214970501474925
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,6.958211263020833e-05
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,0.001133024267399267
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,9.451904296874999e-05
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,0.0013087469362745097
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,3.962266710069444e-05
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,0.0007040807291666667
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,4.2377929687499996e-05
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,0.0007224642857142857
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,4.8755787037037033e-05
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,0.0007671875
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,5.781598772321428e-05
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,0.0008956750000000001
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,7.105305989583333e-05
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,0.0011018615924092412
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,9.554036458333333e-05
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,0.001270713404605263
