cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_avg_power_W
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,598.8390286738352
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,379.96958333333333
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,543.2424270833334
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,320.32812878787877
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,426.7550555555556
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,282.7794
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,309.12116555924695
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,242.59098796296294
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,237.31310256410256
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,206.46397222222222
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,194.1737619047619
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,182.06279895833336
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,598.3748452380953
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,370.46941666666663
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,549.2600888888888
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,311.50145151515153
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,429.3722352941177
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,274.2626333333333
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,316.50511666666665
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,235.15483333333336
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,245.78540777777778
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,201.5682592592593
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,198.35562626262626
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,177.69161111111111
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,602.7675
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,363.33715151515145
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,553.5364142857144
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,306.5617916666667
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,434.27304166666664
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,269.20013888888883
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,316.98956666666663
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,228.03231481481478
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,248.81619444444445
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,198.6235289351852
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,200.07120833333332
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,174.7835238095238
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,601.0794901960785
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,359.31486111111116
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,550.3907619047618
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,302.50103560606067
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,434.46920299145296
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,264.9327666666666
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,319.8982888888889
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,223.34462222222226
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,249.43533333333335
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,195.8441203703704
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,202.19899999999998
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,172.07962777777777
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,601.3643703703704
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,353.9090530303031
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,537.7343333333333
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,298.1848833333333
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,425.77180952380945
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,261.4511481481481
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,314.0664166666666
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,229.59739814814813
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,245.048
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,194.16635185185183
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,199.09980000000004
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,170.21617857142857
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,600.1653242424244
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,351.7220347222222
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,510.9134333333334
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,295.8967727272728
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,404.27983333333333
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,259.21608333333336
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,296.0226296296296
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,228.00565185185187
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,229.8433259259259
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,192.4068314814815
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,189.70353240740738
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,168.77852638888888
