cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,throughput_tokens_per_sec
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,21182.326513461972
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,676.6519823788547
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,20302.87853362592
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,667.6525840361325
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,17635.45604994416
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,645.3289833379641
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,14875.444032095153
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,556.2330908224343
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,12125.405885454731
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,451.48000790090015
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,9004.50665005679
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,393.4776336332773
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,23229.007904157654
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,922.5515054296001
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,22338.264367032516
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,906.080209146833
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,19439.000998605905
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,867.8835552283178
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,16398.07501438735
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,746.7122478669825
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,13377.970115130238
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,607.015700694566
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,9935.316946959894
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,530.4809457085906
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,24451.501106864216
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,1139.8401849074078
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,23508.42370834479
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,1117.3055309999866
