cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
NONE,16,2430,8192,Qwen/Qwen3-8B_prefill-all,594.5647349084758
FULL,16,2430,8192,Qwen/Qwen3-8B_decoding-all,370.50075770925116
NONE,16,2130,8192,Qwen/Qwen3-8B_prefill-all,540.0262295081967
FULL,16,2130,8192,Qwen/Qwen3-8B_decoding-all,312.04196810424077
NONE,16,1830,8192,Qwen/Qwen3-8B_prefill-all,424.05513770972647
FULL,16,1830,8192,Qwen/Qwen3-8B_decoding-all,274.6496401394628
NONE,16,1530,8192,Qwen/Qwen3-8B_prefill-all,308.9985586689819
FULL,16,1530,8192,Qwen/Qwen3-8B_decoding-all,234.2985640924999
NONE,16,1230,8192,Qwen/Qwen3-8B_prefill-all,239.14829582072892
FULL,16,1230,8192,Qwen/Qwen3-8B_decoding-all,197.9818373355155
NONE,16,930,8192,Qwen/Qwen3-8B_prefill-all,193.27925200600882
FULL,16,930,8192,Qwen/Qwen3-8B_decoding-all,179.0139869002581
NONE,16,2430,4096,Qwen/Qwen3-8B_prefill-all,591.7990524462717
FULL,16,2430,4096,Qwen/Qwen3-8B_decoding-all,362.35753306179174
NONE,16,2130,4096,Qwen/Qwen3-8B_prefill-all,542.7096825505032
FULL,16,2130,4096,Qwen/Qwen3-8B_decoding-all,302.7402494894529
NONE,16,1830,4096,Qwen/Qwen3-8B_prefill-all,431.32438872465167
FULL,16,1830,4096,Qwen/Qwen3-8B_decoding-all,265.52581422333645
NONE,16,1530,4096,Qwen/Qwen3-8B_prefill-all,310.27715455766196
FULL,16,1530,4096,Qwen/Qwen3-8B_decoding-all,226.76199027238295
NONE,16,1230,4096,Qwen/Qwen3-8B_prefill-all,245.76073051903867
FULL,16,1230,4096,Qwen/Qwen3-8B_decoding-all,196.90601957236524
NONE,16,930,4096,Qwen/Qwen3-8B_prefill-all,198.14794227037515
FULL,16,930,4096,Qwen/Qwen3-8B_decoding-all,173.63842942004018
NONE,16,2430,2048,Qwen/Qwen3-8B_prefill-all,592.094750893368
FULL,16,2430,2048,Qwen/Qwen3-8B_decoding-all,354.80949233576206
NONE,16,2130,2048,Qwen/Qwen3-8B_prefill-all,545.6457379264166
FULL,16,2130,2048,Qwen/Qwen3-8B_decoding-all,304.6906220431516
NONE,16,1830,2048,Qwen/Qwen3-8B_prefill-all,428.8423768308922
FULL,16,1830,2048,Qwen/Qwen3-8B_decoding-all,264.39947632339505
NONE,16,1530,2048,Qwen/Qwen3-8B_prefill-all,301.7699970134045
FULL,16,1530,2048,Qwen/Qwen3-8B_decoding-all,217.72811918063317
NONE,16,1230,2048,Qwen/Qwen3-8B_prefill-all,246.8166353235045
FULL,16,1230,2048,Qwen/Qwen3-8B_decoding-all,195.34745491849762
NONE,16,930,2048,Qwen/Qwen3-8B_prefill-all,197.03400683735353
FULL,16,930,2048,Qwen/Qwen3-8B_decoding-all,172.1125488302942
NONE,16,2430,1024,Qwen/Qwen3-8B_prefill-all,592.8365898413083
FULL,16,2430,1024,Qwen/Qwen3-8B_decoding-all,350.9277346291552
NONE,16,2130,1024,Qwen/Qwen3-8B_prefill-all,536.6788784504334
FULL,16,2130,1024,Qwen/Qwen3-8B_decoding-all,293.4942882267872
NONE,16,1830,1024,Qwen/Qwen3-8B_prefill-all,427.53875342562014
FULL,16,1830,1024,Qwen/Qwen3-8B_decoding-all,254.11852763440666
NONE,16,1530,1024,Qwen/Qwen3-8B_prefill-all,315.160351585699
FULL,16,1530,1024,Qwen/Qwen3-8B_decoding-all,216.36271644333993
NONE,16,1230,1024,Qwen/Qwen3-8B_prefill-all,246.47300853433362
FULL,16,1230,1024,Qwen/Qwen3-8B_decoding-all,189.5524182435065
NONE,16,930,1024,Qwen/Qwen3-8B_prefill-all,195.76973528589556
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-all,168.82506917542887
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-all,588.7861117931092
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-all,348.5912131794354
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-all,520.6189630422617
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-all,289.1465521079108
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-all,408.9919434628975
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-all,251.4580605444703
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-all,292.6736409668482
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-all,223.97688167740392
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-all,242.24554837577853
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-all,191.000191956032
NONE,16,930,512,Qwen/Qwen3-8B_prefill-all,189.80068018425246
FULL,16,930,512,Qwen/Qwen3-8B_decoding-all,167.27102475566218
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,585.0255023448465
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,343.13004175805474
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,510.35679993854905
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,288.6621105014254
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,395.92210682492583
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,249.57397601267257
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,279.7299471154813
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,223.86091495241016
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,227.36189058145305
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,186.33561563697796
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,181.6612010221465
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,165.48787229165825
