cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,avg_temperature_C
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,68.3076923076923
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,73.22507122507123
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,77.76190476190476
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,73.52076318742985
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,76.6190476190476
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,68.25
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,72.75757575757576
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,60.994708994708986
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,68.45454545454545
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,59.427350427350426
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,69.0
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,58.45061728395061
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,68.05555555555556
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,57.28086419753087
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,71.42307692307692
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,67.50925925925925
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,73.47619047619048
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,66.06397306397307
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,71.29166666666667
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,61.215488215488215
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,67.45833333333333
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,55.01851851851852
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,63.42962962962963
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,53.35016835016836
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,62.21111111111111
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,51.2962962962963
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,59.644444444444446
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,49.647474747474746
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,62.17777777777778
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,59.43322109988777
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,64.60416666666667
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,58.703367003367006
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,63.416666666666664
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,56.25185185185185
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,61.55555555555555
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,52.14646464646465
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,58.7037037037037
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,51.04074074074074
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,57.56666666666666
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,48.8962962962963
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,55.0
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,47.214814814814815
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,53.695238095238096
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,50.4851290684624
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,53.31481481481482
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,49.39259259259259
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,52.93333333333334
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,48.26296296296296
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,51.86666666666667
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,46.00673400673401
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,50.541666666666664
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,45.52962962962964
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,50.18518518518518
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,45.028806584362144
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,49.53333333333333
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,45.0
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,49.03100775193798
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,47.18181818181819
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,48.4558629776021
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,45.84814814814815
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,47.88636363636363
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,44.170370370370364
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,46.57142857142858
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,42.35016835016835
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,45.03703703703704
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,42.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,44.7074074074074
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,41.00411522633745
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,44.0
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,41.0
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,44.92727272727273
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,44.0
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,45.72619047619048
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,43.543209876543216
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,44.89027777777778
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,42.023148148148145
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,43.16203703703704
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,39.751028806584365
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,41.96296296296296
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,39.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,41.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,38.928395061728395
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,41.2
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,39.288888888888884
