cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,gpu_util_pct
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,100.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,100.0
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,100.0
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,99.00953984287318
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,100.0
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,100.0
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,100.0
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,100.0
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,100.0
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,100.0
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,100.0
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,100.0
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,100.0
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,100.0
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,100.0
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,100.0
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,100.0
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,100.0
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,100.0
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,100.0
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,100.0
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,100.0
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,100.0
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,100.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,100.0
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,100.0
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,100.0
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,100.0
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,100.0
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,100.0
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,100.0
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,100.0
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,100.0
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,100.0
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,100.0
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,100.0
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,100.0
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,100.0
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,100.0
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,100.0
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,100.0
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,100.0
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,100.0
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,100.0
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,100.0
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,100.0
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,100.0
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,100.0
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,100.0
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,100.0
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,100.0
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,100.0
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,100.0
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,100.0
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,100.0
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,100.0
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,100.0
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,100.0
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,100.0
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,100.0
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,100.0
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,100.0
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,100.0
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,100.0
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,100.0
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,100.0
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,100.0
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,100.0
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,100.0
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,100.0
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,100.0
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,100.0
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,100.0
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,100.0
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,100.0
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,100.0
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,100.0
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,100.0
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,100.0
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,100.0
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,100.0
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,100.0
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,100.0
