cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,0,0,2231,3060045,131072,5.1491,1,605.6271538461539,3118.434777869231,100.0,29.115384615384617,64.1923076923077
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,0,1,2212,3063929,131072,5.1882,1,601.4376153846152,3120.378636138461,100.0,28.615384615384617,68.8076923076923
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,0,2,2204,3116628,131072,5.2116,1,599.7624230769231,3125.7218441076925,100.0,28.153846153846153,71.92307692307692
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,256,0,2347,1367491,33792,2.4847,66,547.6372307692308,1360.7142272923077,100.0,60.0,70.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,2347,1370871,33792,2.4853,66,549.111,1364.7055683,100.0,60.0,70.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,2347,1319959,33792,2.4849,66,550.0109230769231,1366.7221427538461,100.0,60.0,71.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,2347,1319586,33792,2.4894,66,550.6673076923076,1370.8311957692306,100.0,60.0,71.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,2347,1321728,33792,2.4894,66,551.3347692307693,1372.492774523077,100.0,60.0,71.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,2347,1322679,33792,2.491,66,551.5710769230769,1373.9635526153847,100.0,60.0,72.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,2347,1377809,33792,2.4939,66,551.8802307692308,1376.3341075153849,100.0,60.0,72.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,2347,1325887,33792,2.4937,66,552.9963076923076,1379.0068924923075,100.0,60.0,72.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,2347,1327893,33792,2.4941,66,553.6123076923077,1380.7644566153847,100.0,60.0,72.61538461538461
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,2347,1382280,33792,2.4964,66,553.794076923077,1382.4915336307695,100.0,60.0,73.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,2347,1383472,33792,2.498,66,554.021923076923,1383.9467638461538,100.0,60.0,73.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,2347,1384802,33792,2.4981,66,554.1054615384616,1384.2108534692309,100.0,60.0,73.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,2347,1330906,33792,2.5018,66,553.8730769230771,1385.6796638461542,100.0,60.0,73.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,2347,1332742,33792,2.5012,66,555.1388461538461,1388.5132819999997,100.0,60.0,74.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,2347,1386953,33792,2.5012,66,553.3690769230769,1384.0867352,100.0,60.0,74.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,2347,1387414,33792,2.5058,66,556.1493076923076,1393.5989352153842,100.0,60.0,74.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,2347,1389165,33792,2.5053,66,555.9330000000001,1392.7789449000004,100.0,60.0,74.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,261,2,2347,1335446,33792,2.5047,66,556.1753846153845,1393.0524858461536,100.0,60.0,74.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,262,0,2347,1335101,33792,2.5081,66,556.4636923076922,1395.6665866769229,100.0,60.69230769230769,74.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,262,1,2347,1336375,33792,2.5079,66,557.0365384615385,1396.9919348076924,100.0,60.61538461538461,74.46153846153847
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,262,2,2347,1390474,33792,2.5079,66,557.1228461538461,1397.2083858692306,100.0,60.15384615384615,75.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,263,0,2347,1391267,33792,2.511,66,557.2886923076924,1399.3519063846156,100.0,60.69230769230769,75.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,263,1,2347,1337473,33792,2.5111,66,557.5223846153846,1399.9944600076922,100.0,60.69230769230769,75.0
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,263,2,2347,1337610,33792,2.5111,66,557.4383846153846,1399.7835276076923,100.0,60.53846153846154,75.0
