cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,latency_sec_per_token
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,3.9542897542317705e-05
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,7.400283214085298e-05
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,4.013264973958333e-05
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,8.574840856481481e-05
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,4.012095133463541e-05
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.00012305729166666666
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,4.0356445312499994e-05
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.00021136747685185188
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,4.0106879340277777e-05
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.00038271875
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,4.010484483506945e-05
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.0007037696759259258
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,4.110378689236111e-05
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.0013654930555555558
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,4.046223958333333e-05
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,7.937251258934373e-05
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,4.045155843098958e-05
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,9.109843949553e-05
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,4.0497843424479165e-05
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.00012625437340966922
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,4.117329915364584e-05
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.0002167251984126984
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,4.1474609375e-05
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.00039280224867724864
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,4.237467447916667e-05
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.00072160582010582
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,4.4309895833333335e-05
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,0.0013955185185185184
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,4.637298583984375e-05
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,8.746264999055178e-05
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,4.63470458984375e-05
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,0.00010047145061728396
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,4.6431477864583336e-05
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.00013217850942460316
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,4.72503662109375e-05
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.000226289737654321
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,4.759012858072917e-05
FULL,32,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.0004123179012345679
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-all,1830,4.87621166087963e-05
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.0007655462962962964
NONE,8,1830,256,Qwen/Qwen3-8B_prefill-all,1830,5.103985821759259e-05
FULL,8,1830,256,Qwen/Qwen3-8B_decoding-all,1830,0.0014791141975308644
NONE,512,1530,256,Qwen/Qwen3-8B_prefill-all,1530,5.483042399088542e-05
FULL,512,1530,256,Qwen/Qwen3-8B_decoding-all,1523,0.00010301508158310749
NONE,256,1530,256,Qwen/Qwen3-8B_prefill-all,1530,5.4927571614583335e-05
FULL,256,1530,256,Qwen/Qwen3-8B_decoding-all,1522,0.00011743951612903227
NONE,128,1530,256,Qwen/Qwen3-8B_prefill-all,1530,5.502522786458334e-05
FULL,128,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.00015214028024034673
NONE,64,1530,256,Qwen/Qwen3-8B_prefill-all,1530,5.583902994791667e-05
FULL,64,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.00026119305555555555
NONE,32,1530,256,Qwen/Qwen3-8B_prefill-all,1530,5.6350368923611117e-05
FULL,32,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.00047608703703703705
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-all,1530,5.781831287202381e-05
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.0008941240740740741
NONE,8,1530,256,Qwen/Qwen3-8B_prefill-all,1530,6.041666666666666e-05
FULL,8,1530,256,Qwen/Qwen3-8B_decoding-all,1530,0.0017289407407407407
NONE,512,1230,256,Qwen/Qwen3-8B_prefill-all,1230,6.822280883789064e-05
FULL,512,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.00012227811973905724
NONE,256,1230,256,Qwen/Qwen3-8B_prefill-all,1230,6.851908365885416e-05
FULL,256,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.0001412572337962963
NONE,128,1230,256,Qwen/Qwen3-8B_prefill-all,1230,6.728617350260418e-05
FULL,128,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.00018639197530864195
NONE,64,1230,256,Qwen/Qwen3-8B_prefill-all,1230,6.839803059895834e-05
FULL,64,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.00032023113769710305
NONE,32,1230,256,Qwen/Qwen3-8B_prefill-all,1230,6.961669921875e-05
FULL,32,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.000583248533186652
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-all,1230,7.168375651041666e-05
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.0010996241290795747
NONE,8,1230,256,Qwen/Qwen3-8B_prefill-all,1230,7.505154079861112e-05
FULL,8,1230,256,Qwen/Qwen3-8B_decoding-all,1230,0.002128167400073341
NONE,512,930,256,Qwen/Qwen3-8B_prefill-all,934,8.81365458170573e-05
FULL,512,930,256,Qwen/Qwen3-8B_decoding-all,930,0.00016093778935185186
NONE,256,930,256,Qwen/Qwen3-8B_prefill-all,934,8.714955647786458e-05
