cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,memory_util_pct
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2215,28.628205128205128
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,60.21652421652421
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2181,27.428571428571427
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2362,71.0
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2185,28.23809523809524
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,79.0
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2204,29.939393939393938
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,79.0
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2229,29.939393939393938
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,79.99691358024693
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2267,25.0
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,83.0
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2302,23.0
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,83.01543209876544
NONE,512,2130,256,Qwen/Qwen3-8B_prefill-all,2130,27.75641025641026
FULL,512,2130,256,Qwen/Qwen3-8B_decoding-all,2092,56.23765432098766
NONE,256,2130,256,Qwen/Qwen3-8B_prefill-all,2130,27.61904761904762
FULL,256,2130,256,Qwen/Qwen3-8B_decoding-all,2085,66.98653198653199
NONE,128,2130,256,Qwen/Qwen3-8B_prefill-all,2130,28.25
FULL,128,2130,256,Qwen/Qwen3-8B_decoding-all,2130,77.0
NONE,64,2130,256,Qwen/Qwen3-8B_prefill-all,2130,29.166666666666668
FULL,64,2130,256,Qwen/Qwen3-8B_decoding-all,2130,77.0
NONE,32,2130,256,Qwen/Qwen3-8B_prefill-all,2130,28.85185185185185
FULL,32,2130,256,Qwen/Qwen3-8B_decoding-all,2130,77.98653198653199
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-all,2130,24.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-all,2130,81.0
NONE,8,2130,256,Qwen/Qwen3-8B_prefill-all,2122,22.0
FULL,8,2130,256,Qwen/Qwen3-8B_decoding-all,2130,82.0
NONE,512,1830,256,Qwen/Qwen3-8B_prefill-all,1830,24.28888888888889
FULL,512,1830,256,Qwen/Qwen3-8B_decoding-all,1815,51.0
NONE,256,1830,256,Qwen/Qwen3-8B_prefill-all,1830,24.354166666666668
FULL,256,1830,256,Qwen/Qwen3-8B_decoding-all,1800,60.96127946127946
NONE,128,1830,256,Qwen/Qwen3-8B_prefill-all,1830,24.685185185185187
FULL,128,1830,256,Qwen/Qwen3-8B_decoding-all,1830,73.79629629629629
NONE,64,1830,256,Qwen/Qwen3-8B_prefill-all,1830,25.62962962962963
FULL,64,1830,256,Qwen/Qwen3-8B_decoding-all,1830,73.99382716049382
NONE,32,1830,256,Qwen/Qwen3-8B_prefill-all,1830,25.0
